༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ལ་ལི་ཏ་བི་སྟཱ་ར་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Play in Full
།གཡོན་ཅན་དཔུང་བཅས་ས་སྒྲ་དེ་ཐོས་ནས། ||| When the wicked one and his army heard that sound from the earth,
།ནགས་སུ་སེང་གེས་སྒྲ་བསྒྲགས་ཝས་ཐོས་དང་། །བྱ་རོག་རྡོ་འཕངས་མོད་ལ་འབྱེར་བ་བཞིན། །སྔངས་སྐྲག་སྙིང་གས་ཐམས་ཅད་རབ་ཏུ་བྱེར། ||| Frightened and disheartened, they all fled, Just like jackals in the forest hearing the lion’s roar, Or crows taking flight when a rock is thrown.
།དེ་ནས་བདུད་སྡིག་ཅན་སྡུག་བསྔལ་ཞིང་ཡིད་མི་བདེ་སྟེ། ||| Now Māra, the evil one, felt unhappy and full of suffering.
ཡི་མ་རངས་ལ་སྐྱེངས་བཞིན་དུ་ང་རྒྱལ་གྱི་ཟིལ་གྱིས་ནོན་པས་མ་སོང་ལ་ཕྱིར་ཡང་མ་ལོག་ཅིང་བྲོས་ཀྱང་མ་བྲོས་ཏེ་ཕྱིར་བལྟས་ནས་ཡང་དཔུང་རྣམས་ལ་སྨྲས་པ། ||| Still, even though he was miserable and ashamed of himself, he was overpowered by pride to such an extent that he could not leave; he could not turn back and flee. Therefore, he turned to his men and spoke:
ཁྱེད་ལྷན་ཅིག་འདུས་ཏེ་ཅུང་ཟད་ཅིག་སྡོད་ཅིག །རྣམ་པ་འདི་ལྟ་བུའི་སེམས་ཅན་རིན་པོ་ཆེ་གློ་བུར་དུ་ཆུད་མི་གཟན་པར་ཁོ་བོས་རྗེས་སུ་འཆགས་པས་འདི་བསླང་བར་ནུས་སམ་མི་ནུས་སད་པར་བྱའོ། ||| “All of you! Wait a while until we find out whether it is possible to arouse the Bodhisattva by polite persuasion. Such a jewel of a being should not be killed outright.”
།དེ་ནས་བདུད་སྡིག་ཅན་གྱིས་རང་གི་བུ་མོ་རྣམས་ལ་སྨྲས་པ། ||| Then Māra, the evil one, spoke to his daughters:
བུ་མོ་ཁྱེད་དེང་སྟེ་བྱང་ཆུབ་ཀྱི་སྙིང་པོར་སོང་ལ་བྱང་ཆུབ་སེམས་དཔའ་འདོད་ཆགས་དང་བཅས་པའམ། ||| “Girls, you must go now to the seat of awakening and examine the Bodhisattva.
འོན་ཏེ་འདོད་ཆགས་མེད། ||| Does he have desires or not?
ཅི་གཏི་མུག་ཅན་ནམ། འོན་ཏེ་ཤེས་རབ་ཅན། ཅི་ལྡོངས་པ་ཞིག་གམ། ||| Is he deluded or intelligent?
འོན་ཏེ་ཕྱོགས་ཤེས་པ་ཞིག་གམ། ||| Is he like a blind man, or does he know the country and seek advantage?
འོན་ཏེ་དཔུང་གཉེན་མེད་པ་ཞིག་གམ། ||| And is he weak or strong?”
དམན་པ་ཞིག་གམ་བརྟན་པ་ཞིག་ཡིན་པ་བགོམས་ཤིག །ཚིག་དེ་ཐོས་ནས་བདུད་ཀྱི་བུ་མོ་དེ་དག་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ག་ལ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| When they heard these words, these divine maidens went to the seat of awakening where the Bodhisattva was.
བྱང་ཆུབ་སེམས་དཔའི་མདུན་དུ་འཁོད་དེ། བུད་མེད་ཀྱི་སྒྱུ་རྣམ་པ་སུམ་ཅུ་རྩ་གཉིས་ཉེ་བར་བསྟན་ཏོ། ||| They assembled in front of the Bodhisattva and began displaying the thirty-two ways of female trickery.
།རྣམ་པ་སུམ་ཅུ་རྩ་གཉིས་གང་ཞེ་ན། ||| What are these thirty-two ways?
འདི་ལྟ་སྟེ། ||| They are as follows:
དེའི་ནང་ནས་ཁ་ཅིག་ནི་བཞིན་ཕྱེད་འགེབས་པ་དང་། ཁ་ཅིག་ནི་ནུ་མ་མཁྲང་ཞིང་འབུར་བ་སྟོན་པ་དང་། ཁ་ཅིག་ནི་ཅུང་ཟད་འཛུམ་པས་སོའི་ཕྲེང་བ་སྟོན་པ་དང་། ཁ་ཅིག་ནི་ལག་པ་བརྐྱང་སྟེ་བྱ་རྨྱངས་བྱེད་ཅིང་མཆན་ཁུང་སྟོན་པ་དང་། ཁ་ཅིག་ནི་ཤིང་ཐོག་བིམ་པ་ལྟར་དམར་བའི་མཆུ་སྟོན་པ་དང་། ||| 1. Some of the girls partially covered their faces. 2. Some showed off their firm and voluptuous breasts. 3. Some smiled at him and flashed their teeth. 4. Some lifted their arms, waving them in the air to reveal their armpits. 5. Some flaunted their lips, red like bimba fruit.
ཁ་ཅིག་ནི་མིག་ཕྱེད་བཙུམས་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་ལ་ལྟ་ཞིང་། བལྟས་ནས་མྱུར་བ་མྱུར་བར་འཛུམས་པ་དང་། ||| 6. Some looked at the Bodhisattva through half-closed eyes and then quickly closed their eyes. 7. Some showed off their half-covered breasts.
ཁ་ཅིག་ནི་ནུ་མ་ཕྱེད་གཡོགས་ཏེ་སྟོན་པ་དང་། ཁ་ཅིག་ནི་གོས་སྙིལ་བར་བྱས་ཏེ། གསེར་གྱི་ཕག་སྐ་དང་བཅས་པའི་རྐེད་པ་སྟོན་པ་དང་། ཁ་ཅིག་ནི་གོས་དུ་ཀུ་ལ་སྲབ་མོ་གྱོན་ཏེ། གསེར་གྱི་ཕག་སྐ་དང་བཅས་པའི་རྐེད་པ་སྟོན་པ་དང་། ཁ་ཅིག་ནི་རྐང་གདུབ་སྒྲ་སིལ་སིལ་འབྱིན་པ་དང་། ཁ་ཅིག་ནི་ནུ་མའི་བར་ནས་ཕྲེང་བ་གཅིག་ཉེ་བར་སྟོན་པ་དང་། ཁ་ཅིག་ནི་བརླ་ཕྱེད་ཙམ་བརྫེས་པ་ཉེ་བར་སྟོན་པ་དང་། ཁ་ཅིག་ནི་མགོ་དང་ཕྲག་པ་དག་ལ་བྱ་འདབ་སྦེད་དང་། ནེ་ཙོ་དང་། རི་སྐེགས་འདུག་པར་ཉེ་བར་སྟོན་པ་དང་། ཁ་ཅིག་ནི་བྱང་ཆུབ་སེམས་དཔའ་ལ་མིག་ཟུར་གྱིས་ལྟ་བ་དང་། ཁ་ཅིག་ནི་གོས་ལེགས་པར་བགོས་ཀྱང་བགོ་མ་ལེགས་པ་ལྟ་བུར་བཅོས་པ་དང་། ཁ་ཅིག་ནི་རྐེད་པ་དང་། གསེར་གྱི་ཕག་སྐ་སྐྱོད་པ་དང་། ཁ་ཅིག་ནི་འཁྲུལ་བ་ལྟར་འཆོས་ཤིང་སྒེག་སྟེ་ཕན་ཚུན་འཆག་པ་དང་། ཁ་ཅིག་ནི་གར་བྱེད་པ་དང་། ཁ་ཅིག་ནི་གླུ་ལེན་པ་དང་། ཁ་ཅིག་ནི་བསྒེགས་ཤིང་ངོ་ཚ་བ་ལྟར་ཡང་འཆོས་པ་དང་། ཁ་ཅིག་ནི་ཆུ་ཤིང་རླུང་གིས་བསྐྱོད་པ་ལྟར་བརླ་སྒུལ་བ་དང་། ཁ་ཅིག་ནི་བརྗིད་པའི་སྒྲ་འབྱིན་པ་དང་། ཁ་ཅིག་ནི་སེང་རས་བགོས་ཏེ་གསེར་གྱི་ཕག་སྐ་དྲིལ་བུ་ཅན་བཅིངས་ནས་དགོད་ཅིང་འཆག་པ་དང་། ཁ་ཅིག་ནི་གོས་དང་རྒྱན་རྣམས་ས་ལ་འདོར་ཞིང་ངོ་ཚ་བ་ལྟར་སླར་ཡང་ལེན་པ་དང་། ཁ་ཅིག་ནི་གསང་བ་དང་། གསལ་བའི་རྒྱན་ཐམས་ཅད་ཉེ་བར་སྟོན་པ་དང་། ཁ་ཅིག་ནི་ལག་པ་སྤོས་ཀྱིས་བསྐུས་པ་སྟོན་པ་དང་། ཁ་ཅིག་ནི་མཁུར་བ་བསྐུས་ཤིང་རྣ་ཆ་ཡང་སྟོན་པ་དང་། ཁ་ཅིག་ནི་མགོ་ཡང་གཡོགས་ཤིང་བཞིན་ཡང་གཡོགས་ལ་སྐད་ཅིག་ཙམ་གྱིས་སྟོན་པ་དང་། ཁ་ཅིག་ནི་སྔོན་རྒོད་རྒོད་པ་དང་། དགའ་དགའ་བ་དང་། རྩེ་རྩེ་བ་ཕན་ཚུན་དྲན་པར་བྱེད་ཅིང་ཡང་ངོ་ཚ་བ་ལྟར་འདུག་པ་དང་། ཁ་ཅིག་ནི་གཞོན་ནུའི་གཟུགས་དང་། བུ་མ་བཙས་པའི་གཟུགས་དང་། ན་ཆུང་ཚད་ལ་བབ་པའི་གཟུགས་སྟོན་པ་དང་། ཁ་ཅིག་ནི་འདོད་པ་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའ་ལ་སྒུགས་པ་དང་། ཁ་ཅིག་ནི་བྱང་ཆུབ་སེམས་དཔའ་ལ་མེ་ཏོག་སིལ་མས་འཐོར་བ་དག་སྟེ། བྱང་ཆུབ་སེམས་དཔའི་མདུན་དུ་འདུག་ནས་བྱང་ཆུབ་སེམས་དཔའི་བསམ་པ་ལ་རྟོག་ཅིང་གདོང་དུ་ཡང་བལྟ་སྟེ། ||| 8. Some loosened their clothes to reveal their hips adorned with girdles.9. Some wore fine, transparent clothes that revealed their hips and their girdles. 10. Some made clinking sounds with their anklets. 11. Some showed their breasts adorned with strings of pearls. 12. Some showed off their half-naked thighs. 13. Some displayed jays, parrots, and myna birds sitting on their heads and shoulders. 14. Some cast sidelong glances at the Bodhisattva. 15. Some wore good clothes, yet let them hang improperly.16. Some made the chains on their hips shake and twinkle. 17. Some mischievously moved back and forth in a flirtatious manner. 18. Some danced. 19. Some sang. 20. Some flirted and acted shy. 21. Some shook their thighs like a palm tree moved by the wind. 22. Some let out deep moans. 23. Some dressed in transparent cloth with bells hanging from the string at their waist and walked around giggling. 24. Some stripped off all their clothes and jewelry. 25. Some showed off all their jewelry, both the secret and the apparent. 26. Some showed their arms, which had been rubbed with perfume. 27. Some displayed their earrings anointed with perfume.28. Some covered their face with a veil and then suddenly revealed it. 29. Some laughed, played, and had fun, trying to attract each other’s attention. But then they again pretended to be shy. 30. Some of them showed off their virgin bodies that had never given birth. 31. Some tried to lure the Bodhisattva with offers of love. 32. Some scattered flower petals on the Bodhisattva. Standing before the Bodhisattva, they pondered what his thoughts might be as they looked at his face.
