འཕགས་པ་འཇིག་རྟེན་འཛིན་གྱིས་ཡོངས་སུ་དྲིས་པ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Sūtra The Inquiry of Lokadhara
ཇི་ཙམ་དུ་འཚོ་བའི་མཚན་མ་དང་། ཆོས་ཀྱི་མཚན་མ་དང་། ལེན་པའི་མཚན་མ་ནས་མྱ་ངན་ལས་འདའ་བའི་མཚན་མ་དང་སངས་རྒྱས་ཀྱི་མཚན་མའི་བར་དང་། རྣམ་པར་དག་པ་དང་སངས་རྒྱས་སུ་མཚན་མར་འཛིན་ཏེདེ་ལ་ཚོར་བ་རྣམ་པར་དག་པར་འཛིན་ན་ལོག་པར་འཚོ་བ་ཞེས་བྱའོ། ། ||| If one clings to the marks of livelihood, as well as to the marks of phenomena, the marks of appropriation, and so on, up to the marks of nirvāṇa and the marks of buddhahood—thinking that purity and buddhahood have marks—as pure livelihood, then that is wrong livelihood.
ཡང་དག་པར་འཚོ་བ་ནི་འཚོ་བའི་ཡོ་བྱད་ལ་ཆགས་པ་ཐམས་ཅད་བཏང་སྟེ་ ||| Right livelihood involves giving up all attachment to the articles of livelihood.
ཚོང་དཔོགས་ཀྱང་ཡོངས་སུ་བཅད་ནས་ ||| Once profit-seeking is eliminated,
རྟོག་པ་མེད་ཅིང་སྤྲོས་པ་མེད་ལ་སྤྲོས་པ་ཐམས་ཅད་ལས་འདས་པ་ནི་ཡང་དག་པའི་འཚོ་བ་ཞེས་བྱའོ། ། ||| the absence of thoughts, then the absence of concepts, and then the transcendence of all concepts is right livelihood.
ཡང་དག་པའི་འཚོ་བ་ལ་ངན་པའི་འཚོ་བའམ། ཡང་དག་པའི་འཚོ་བར་རྣམ་པར་མི་རྟོག་པ་ནི་ཐམས་ཅད་དུ་རྣམ་པར་དག་པའི་འཚོ་བ་འཐོབ་པར་འགྱུར་བས་ ||| In not conceptualizing right livelihood as wrong or right livelihood, one gains pure and right livelihood in all respects.
དེ་བས་ན་རྣམ་པར་དག་པའི་ཡང་དག་པའི་འཚོ་བ་ཐོབ་པ་ཞེས་བྱའོ། ། ||| Therefore, this is the attainment of pure and right livelihood.
གཞན་ཡང་འཚོ་བ་ཐམས་ཅད་ནི་ཀུན་ཀྱང་མ་སྐྱེས་པས་ལོག་པའམ་ཡང་དག་པ་མེད་དེ། ||| Furthermore, since all forms of livelihood are unborn, there is no right or wrong.
གང་ཟག་དེ་ནི་རྣམ་པར་དག་པའི་འཚོ་བ་ཐོབ་ཅིང་ཡང་དག་པའི་ལམ་ལ་བདེ་བར་གནས་པ་སྤྲོས་པ་མེད་པའོ། ། ||| A person who knows this achieves pure livelihood, is steadfast on the right path, and is free of concepts.
ཡང་དག་པའི་འཚོ་བ་དེ་ལ་གནས་པས་ཡང་དག་པའི་འཚོ་བ་མི་ལེན་ལོག་པར་འཚོ་བ་མི་སྤོང་སྟེ། ||| When abiding in such right livelihood, one does not take up right livelihood or abandon wrong livelihood.
དེ་བས་ན་ཡང་དག་པའི་འཚོ་བ་ལ་གནས་པ་ཞེས་བྱའོ། ། ||| Therefore, one is abiding in right livelihood.
གང་དེའི་ཚེ་དེ་ལྟར་གྱུར་པ་ནི་ཡང་དག་པ་ལ་གནས་པ་ཞེས་ཀྱང་མི་བྱ། ངན་པ་ལ་གནས་པ་ཞེས་ཀྱང་མི་བྱ་སྟེ། ||| At such time, one is not abiding in what is right or what is wrong.
རྣམ་པར་དག་པ་མཉམ་པ་ཉིད་ཀྱི་འཚོ་བ་ཐོབ་སྟེ། ||| One has attained the livelihood of purity and sameness.
འཚོ་བའི་མཚན་མ་དང་བྲལ་བས་གཡོ་བ་མེད། མངོན་པར་འདུ་བྱ་བ་མེད། འཚོ་བར་མི་རྟོག །འཚོ་བ་མ་ཡིན་པར་མི་རྟོག་གོ། ། ||| Since one is free of any marks of livelihood, one is free of concepts, one does not conceive of anything, and one does not think in terms of livelihood or non-livelihood.
དེ་ནི་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་ཤེས་པ་དང་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་མཐོང་བ་སྟེ། ||| This is seeing and understanding things accurately.
དེ་བས་ན་ཡང་དག་པའི་འཚོ་བ་ལ་གནས་པ་ཞེས་བྱའོ། ། ||| One therefore is said to attain right livelihood.”
འཇིག་རྟེན་འཛིན་དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡང་དག་པའི་རྩོལ་བ་ལ་མཁས་པ་ནི་གང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡང་དག་པའི་རྩོལ་བ་ལ་གནས་པ་ནི་གང་ཞེ་ན། ||| “Lokadhara, how are bodhisattva great beings skilled in right effort? How do bodhisattva great beings observe right effort?
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བརྩོན་འགྲུས་ཀྱི་ལམ་ཐམས་ཅད་གཅོད་པའི་ཕྱིར་ཡང་དག་པའི་རྩོལ་བ་ལ་གནས་པ་ཞེས་བྱའོ། ། ||| Bodhisattvas observe right effort by giving up all forms of diligence.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
རྩོལ་བ་ཐམས་ཅད་ནི་ཀུན་ཀྱང་ལོག་པ་སྟེ། ||| All forms of effort are mistaken.
ཇི་ཙམ་དུ་བསྐྱེད་པ་དང་། བྱེད་པ་དང་། སྤྱོད་པ་ཐམས་ཅད་ཀྱང་ལོག་པའོ། ། ||| All forms of creation, action, and practice are mistaken.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
ཆོས་ཐམས་ཅད་ནི་བྱེད་པ་ལོག་པ་ལས་བྱས་པར་ཡོད་པར་གྱུར་ཏེ་ཐམས་ཅད་ཡང་དག་པ་མ་ཡིན་ན། ཡང་དག་པ་མ་ཡིན་པས་ན་ལོག་པའོ། ། ||| All phenomena are produced from wrong actions, and so they are all false. That being so,
ཡང་དག་པའི་རྩོལ་བ་ཞེས་བྱ་བ་ནི་བསྐྱེད་པ་མེད། བྱས་པ་མེད། སྤྱོད་པ་མེད། སྨོན་པ་མེད་དེ། ཆོས་ཐམས་ཅད་ལ་བྱས་པ་ཡོངས་སུ་བཅད་པའོ། ། ||| right effort involves no creation, production, practice, or aspiration, for all phenomena are devoid of production.
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་ཐམས་ཅད་ལ་བྱེད་པ་ཡོངས་སུ་བཅད་པས་མྱ་ངན་ལས་འདས་པའི་མཚན་མའམ། སངས་རྒྱས་ཀྱི་མཚན་མའི་བར་དུ་ཡང་བྱེད་པའི་མཚན་མ་མི་སྐྱེད་དོ། ། ||| Since bodhisattvas give up action with regard to all phenomena, they do not generate any marks of action—not even any marks of nirvāṇa or any marks of buddhahood.
དེ་ལྟར་བྱ་བ་ཐམས་ཅད་ལ་ཡང་དག་པ་མ་ཡིན་པར་ཤེས་པས་བྱ་བ་མེད་པའི་ཕྱིར་རྣལ་འབྱོར་དུ་སྤྱོད་དོ། ། ||| By understanding all actions to be false, they practice in order to eliminate actions.
གང་ཡང་དག་པའི་རྩོལ་བ་ལ་ནི་མངོན་པར་འདུ་བྱ་བ་མེད་དེ། ||| Right effort involves no fabrication, for
ཆོས་ཐམས་ཅད་མཉམ་པ། ཁྱད་པར་མེད་པ། མངོན་པར་འདུ་བྱ་བ་མེད་པ། མངོན་པར་འདུ་བྱེད་པའི་མཚན་མ་ལ་ཤིན་ཏུ་འདས་སོ། ། ||| all phenomena are the same, undifferentiated, without fabrication, and completely beyond any marks of fabrication.
བྱང་ཆུབ་སེམས་དཔས་དེ་ལྟར་བརྩོན་འགྲུས་ལ་བརྩོན་འགྲུས་མ་ཡིན་པར་ཤེས་ཏེ། ||| Bodhisattvas understand diligence to be the lack of diligence, for
མི་ལེན་མི་གཏོང་བས་ཡང་དག་པའི་རྩོལ་བ་ལ་གནས་པ་ཞེས་བྱའོ། ། ||| observing right effort involves no appropriation or abandonment.
ཡང་དག་པའི་རྩོལ་བ་ནི་བརྩོན་འགྲུས་ལ་དམིགས་སུ་མེད་པའི་དོན་ཏོ། ། ||| Right effort means not apprehending diligence.
ཆོས་རྣམས་ལ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་ཤེས་ཤིང་མཐོང་བའི་དོན་ཏོ། ། ||| It means seeing and understanding all phenomena accurately.
གང་དེ་ལྟར་ཡང་དག་པའི་རྩོལ་བ་མཐོང་བ་ནི་ཡང་དག་པའི་རྩོལ་བའམ་ལོག་པའི་རྩོལ་བར་རྣམ་པར་མི་རྟོག་སྟེ། ||| When one understands right effort in this manner, one does not conceptualize either right effort or wrong effort.
དེ་བས་ན་ཡང་དག་པའི་བརྩོན་འགྲུས་ཞེས་བྱའོ། ། ||| This therefore is right effort.”
འཇིག་རྟེན་འཛིན་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡང་དག་པའི་དྲན་པ་ལ་མཁས་པ་ཞེ་ན། ||| “Lokadhara, how are bodhisattva great beings skilled in right mindfulness?
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དྲན་པ་ཐམས་ཅད་དྲན་པ་ལོག་པར་ཤེས་སོ། ། ||| Bodhisattva great beings understand all forms of mindfulness to be wrong mindfulness.
ཇི་ཙམ་དུ་དྲན་པ་ཉེ་བར་གཞག་པ་ཐམས་ཅད་དྲན་པ་ལོག་པའོ། ། ||| The applications of mindfulness are wrong mindfulness.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
དྲན་པ་ཐམས་ཅད་ནི་དྲན་པ་ལོག་པ་སྟེ། ||| All forms of mindfulness are wrong mindfulness.
གལ་ཏེ་གནས་ལ་དམིགས་ནས་དྲན་པ་སྐྱེད་ན་ཡང་དྲན་པ་ལོག་པ་སྟེ། ||| If one generates mindfulness based on observing an object, that is wrong mindfulness.
གང་སེམས་པ་དང་དྲན་པ་མེད་པ་ནི་ཡང་དག་པའི་དྲན་པ་ཞེས་བྱའོ། ། ||| Right mindfulness is the absence of thought and mindfulness.
