༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྲཧྨ་བི་ཤེ་ཥ་ཙིན་ཏི་པ་རི་པྲྀཙྪ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Brahma­viśeṣacintin
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་ནི་མི་གནས་པ་ལགས་པས་དེ་ལ་སྨོན་པ་བགྱིད་པ་མ་མཆིས་སོ། ||| Blessed One, since awakening is nowhere, there is no way to aspire to it.
།བཅོམ་ལྡན་འདས་འདི་ལྟ་སྟེ་དཔེར་ན། སྐྱེས་བུ་ལ་ལ་ཞིག་བདག་གིས་ནམ་མཁའ་ཐོབ་པར་བགྱིའོ། ||| Blessed One, it is like people who say they will grab the sky.
།ཞེས་ནམ་མཁའ་ལ་སྨོན་ན་དེས་ནམ་མཁའ་ཐོབ་པར་འགྱུར་རམ། ||| Will this aspiration they have for the sky give them the sky?”
བཀའ་སྩལ་པ། འཇམ་དཔལ་དེ་མ་ཡིན་ནོ། ||| The Thus-Gone One replied, “No, Mañjuśrī, it will not.”
།འཇམ་དཔལ་གྱིས་གསོལ་པ། །བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་གང་བྱང་ཆུབ་ནམ་མཁའ་དང་མཚུངས་པ་ལ་སྨོན་པ་དེ་དག་ནི་ནམ་མཁའ་ལ་སྨོན་པ་ལགས་སོ། ||| Mañjuśrī continued, “Blessed One, similarly, the aspiration toward space-like awakening is like aspiring for the sky.
།བཅོམ་ལྡན་འདས་བྱང་ཆུབ་ནི་སྨོན་པ་མ་མཆིས་པ། ||| Blessed One, awakening is not an object of aspiration.
དུས་གསུམ་ལས་འདས་པ། ||| It is beyond the three times;
ཉེ་བར་མི་མཆི་བ་ལགས་ཏེ། ||| it cannot be approached.
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་འདུ་ཤེས་གཉིས་སུ་བགྱིས་ནས་བྱང་ཆུབ་ཀྱང་གཞན་ལ་འཁོར་བ་ཡང་གཞན་ནོ། །བྱང་ཆུབ་ཀྱང་གཞན་ལ་ལྟ་བར་གྱུར་པ་ཡང་གཞན་ནོ། །བྱང་ཆུབ་ཀྱང་གཞན་ལ་མྱ་ངན་ལས་འདས་པ་ཡང་གཞན་ནོ་ཞེས་སྨོན་པར་བགྱིད་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ནི་བྱང་ཆུབ་ལ་སྤྱོད་པ་མ་ལགས་སོ། ||| Blessed One, if bodhisattvas consider things in a dualistic way—thinking, when they form their aspirations, that awakening and saṃsāra are different, that awakening and views are different, and that awakening and nirvāṇa are different—these bodhisattvas are not practicing the path to awakening.”
།དེ་ནས་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| Then Brahma­viśeṣacintin said to youthful Mañjuśrī, “Mañjuśrī, how should bodhisattvas act in order to practice the path to awakening?”
འཇམ་དཔལ་བྱང་ཆུབ་སེམས་དཔའ་ཇི་ལྟར་སྤྱོད་ན་བྱང་ཆུབ་ལ་སྤྱོད་པ་ཡིན། སྨྲས་པ། ཚངས་པ་བྱང་ཆུབ་སེམས་དཔའ་གང་ཆོས་ཐམས་ཅད་ལ་ཡང་སྤྱོད་ལ་ཆོས་གང་ལ་ཡང་མི་སྤྱོད་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་བྱང་ཆུབ་ལ་སྤྱོད་དེ། ||| “Brahmā, bodhisattvas practice the path to awakening when they interact with any phenomenon without interacting with any phenomenon.
ཚངས་པ་སྤྱད་པ་ཡུལ་ལས་འདས་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་བྱང་ཆུབ་ཏུ་སྤྱོད་དོ། ། ||| Brahmā, bodhisattvas practice the path to awakening with actions beyond objects.”
སྨྲས་པ། འཇམ་དཔལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སྤྱད་པའི་ཡུལ་ལས་འདས་པ་བྱང་ཆུབ་ལ་སྤྱོད། ||| “Mañjuśrī, how do bodhisattvas practice the path to awakening with actions beyond objects?”
སྨྲས་པ། དམིགས་པའི་མཚན་མ་ཐམས་ཅད་དང་བྲལ་ཞིང་མིག་དང་། རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་དང་བྲལ་བ་དེ་ལྟར་ན་སྤྱད་པའི་ཡུལ་ཐམས་ཅད་ལས་ཤིན་ཏུ་འདས་པ་ཡིན་ནོ། ། ||| “They are free of all apprehended signs, and free of eyes, ears, nose, tongue, body, and mind. In this way, they are beyond all objects of action.”
སྨྲས་པ། འཇམ་དཔལ་ཡང་དག་པར་འདས་པ་ཞེས་བྱ་བ་ཅི་ལ་བསམ། ||| “Mañjuśrī, what does beyond mean?”
སྨྲས་པ། མཉམ་པ་ཉིད་ལས་མི་འདའ་བའོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Not going beyond equality. Why?
ཚངས་པ་བྱང་ཆུབ་ནི་ཆོས་ཐམས་ཅད་ཀྱི་མཉམ་པ་ཉིད་དོ། ། ||| Brahmā, awakening is the equality of all phenomena.”
སྨྲས་པ། འཇམ་དཔལ་བྱང་ཆུབ་སེམས་དཔས་ཇི་ལྟར་ན་བྱང་ཆུབ་ཏུ་འཇུག་པར་བྱ། ||| “Mañjuśrī, how do bodhisattvas connect with awakening?”
སྨྲས་པ། བྱང་ཆུབ་ཇི་ལྟ་བ་བཞིན་དུའོ། ། ||| “Through the way awakening is.”
སྨྲས་པ། བྱང་ཆུབ་ཇི་ལྟ་བུ་ཡིན། ||| “What is awakening like?”
སྨྲས་པ། ཚངས་པ་བྱང་ཆུབ་དེ་ནི་འདས་པ་ཡང་མ་ཡིན། མ་འོངས་པ་ཡང་མ་ཡིན། ད་ལྟར་བྱུང་བ་ཡང་མ་ཡིན་ཏེ། ||| “Brahmā, awakening is neither past, nor future, nor present.
དེ་བས་ན་བྱང་ཆུབ་སེམས་དཔས་དུས་གསུམ་ཡོངས་སུ་དག་པའི་རྣམ་པ་དང་། འཁོར་གསུམ་ཡོངས་སུ་དག་པས་བྱང་ཆུབ་ཏུ་ཡང་དག་པར་འཇུག་པར་བྱའོ། ||| Therefore, bodhisattvas connect with awakening through the purity of the three times and the purity of the three spheres of experience.
།འདས་པ་ཇི་ལྟ་བ་དང་། མ་འོངས་པ་ཇི་ལྟ་བ་དང་། ད་ལྟར་བྱུང་བ་ཇི་ལྟ་བ་དང་། མ་བྱུང་བ་ཇི་ལྟ་བ་དང་། མ་བྱུང་བ་གང་ཡིན་པ་དེ་ལ་རབ་ཏུ་དབྱེ་བ་མེད་དེ། ||| Past things, future things, present things, and those that will never come to be are not different.
གང་དེ་ལྟར་རབ་ཏུ་ཞུགས་པ་དེ་གང་ལ་ཡང་ཞུགས་པ་མེད་དོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| When relating to them, there is actually no interaction whatsoever. Why not?
རབ་ཏུ་འཇུག་པ་འདིས་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཐོབ་པར་འགྱུར་རོ། ||| Because relating to them in this way brings omniscient wisdom.”
།སྨྲས་པ། འཇམ་དཔལ་ཅིའི་ཕྱིར་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཞེས་བྱ། ||| “Mañjuśrī, why is it called omniscient wisdom?”
སྨྲས་པ། ཐམས་ཅད་ཤེས་པར་གྱུར་པའི་ཡེ་ཤེས་དེ་ནི་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཞེས་བྱའོ། ། ||| “The wisdom that knows everything is called omniscient wisdom.”
སྨྲས་པ། འཇམ་དཔལ་ཀུན་ཤེས་པ་གང་ཡིན། ||| “Mañjuśrī, what is knowing everything like?”
སྨྲས་པ། ཚངས་པ་ཀུན་ཤེས་པ་གང་ལ་དངོས་པོ་མེད་ཅིང་ཀུན་ཤེས་པ་ལ་ཀུན་ཤེས་པ་མེད་པ་དེ་ནི་ཀུན་ཤེས་པ་སྟེ། ||| “Brahmā, in the knowledge of everything, nothing exists; in the knowledge of everything, there is no knowledge of everything—this is the knowledge of everything.
དངོས་པོ་ཇི་ལྟ་བ་དེ་བཞིན་དུ་དེའི་ཀུན་ཤེས་པ་ཡང་མེད་དོ། ། ||| There is no knowledge of everything that comprehends actual, real entities.”
སྨྲས་པ། ཅིའི་ཕྱིར་དངོས་པོ་མེད། ||| “Why are there no entities?”
སྨྲས་པ། དངོས་པོ་ནི་མིང་གི་རང་བཞིན་གྱིས་དབེན་ཏེ། ||| “Entities are devoid of a nature behind their names.
དེའི་མིང་དང་རང་བཞིན་དབེན་ལ་དངོས་པོ་ཡང་གཞན་མ་ཡིན། ||| They are nothing more than an absence of name and nature.
བྱང་ཆུབ་ཀྱང་གཞན་མ་ཡིན་ནོ། ||| Awakening is also nothing more than that.
།གལ་ཏེ་དངོས་པོ་ཡང་གཞན་ལ་བྱང་ཆུབ་ཀྱང་གཞན་དུ་ཟིན་ན་འདི་ལྟར་འདི་ལ་བྱང་ཆུབ་ཇི་ལྟ་བར་དངོས་པོ་ཡང་དེ་བཞིན་ནོ། ||| If it were something distinct from other entities, it would just be another entity.
།དེ་ལྟ་བས་ན་འདི་ལ་སེམས་ཅན་ཡང་གུད་ན་མེད་ལ་དེ་རྣམ་པ་གཞན་དུ་ཡང་རྟོགས་པར་མི་འགྱུར་ཏེ། ||| Therefore, beings do not deteriorate within that state, nor is realization to be found elsewhere.
གཞན་དུ་ན་བདག་གི་མཉམ་པ་ཉིད་ཀྱིས་བྱང་ཆུབ་མཉམ་པ་ཉིད་དང་། བྱང་ཆུབ་ཀྱི་མཉམ་པ་ཉིད་ཀྱིས་བདག་གི་མཉམ་པ་ཉིད་རིག་པར་བྱེད་དེ། ||| Rather, through the equality of self, the equality of awakening is known; and through the equality of awakening, the equality of self is known.
དེ་ལྟར་ན་བྱང་ཆུབ་རྟོགས་པར་འགྱུར་ཏེ། ||| This is the way that awakening is realized.
གཞན་དུ་མ་ཡིན་པས་ན་དེའི་ཕྱིར་དེ་ལ་གཞན་དུ་འགྱུར་བ་མེད་དོ། ||| Since it is not otherwise, it does not become something else.
།བདག་ནི་རྟག་ཏུ་བདག་མེད་པ་ཡིན་ཏེ། དེའི་ཕྱིར་དེ་ལ་རྣམ་པ་གཞན་དུ་འགྱུར་བ་མེད་དོ། ||| The self is always devoid of self—that is why it does not need to become something else.
།ཇི་ལྟར་ན་ནམ་མཁའ་ལ་རྣམ་པ་གཞན་དུ་འགྱུར་བ་མེད་པ་དེ་བཞིན་དུ་ཆོས་ཐམས་ཅད་ལ་ཡང་གཞན་དུ་འགྱུར་བ་མེད་དོ། ||| Just as space does not change into something else, so do all phenomena not become something else.”
