༄༅༅། །རྒྱ་གར་སྐད་དུ། ཤཱ་རྡཱུ་ལ་ཀརྞ་ཨ་བ་དཱ་ན། བོད་སྐད་དུ།
སྟག་རྣའི་རྟོགས་པ་བརྗོད་པ། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Exemplary Tale of Śārdūlakarṇa {M.1} Homage to all buddhas and bodhisattvas!
ར་མ་ཏ་ན་གནས་པ་རྣམས་དང་། ཞིང་ལས་བཟང་པོ་བྱེད་པ་རྣམས་དང་། ལུང་པར་གནས་པའི་གཙོ་བོ་རྣམས་དང་། དམག་དཔོན་ཐམས་ཅད་ངེས་པར་བསྲེགས་པར་འགྱུར་རོ། ། ||| “ ‘Sailors living by the water, The Ramaṭhas, the people of Bharukaccha, The headmen of the Abhisāras, And all armies will be struck by fire.
ཐ་སྐར་ལ་ས་རྣམ་པར་གཡོས་ན་རྟ་རྣམས་ལ་ནད་འབྱུང་ཞིང་གྲོང་རྣམས་འཇོམས་པ་དང་། ||| {M.118} “ ‘When the earth shakes under Aśvinī, There will be great misfortune for horses (aśva).
སྤུན་ཟླ་གསོད་པར་འགྱུར་ཞིང་དེ་ལ་མངལ་ཆགས་པ་དང་། ||| Villages will be massacred, As brothers seek to kill brothers.
དེ་ལ་སྐྱེས་པ་དང་། གསུམ་སྡུག་བསྔལ་དང་། ||| “ ‘Those who are conceived then And those who are born then Will suffer uninterruptedly For the next three years.
རྒྱུན་དུ་ལྡན་པར་འགྱུར་ཞིང་བདུན་བརྒྱུད་དང་མངལ་ན་གནས་པ་དང་། ||| “ ‘They will not be beautiful babies, And they will not be embellishable people.
བཟའ་བཏུང་འཐུང་བ་དང་། སྲིད་སྒྲུབ་ཀྱི་རྒྱལ་རིགས་རྣམས་ཕན་ཚུན་གསོད་པར་འགྱུར་རོ། ། ||| Kings descending from Arjuna Will assault each other for three years.
བྲ་ཉེ་ལ་ས་གཡོས་ན་རྐུན་མ་རྣམས་ལ་ནད་ཆེན་པོ་འབྱུང་ཞིང་རྩོད་པ་འབྱུང་ངོ་། །ཆོ་ལོ་མཁན་དང་། ||| “ ‘When the earth shakes under Bharaṇī, There will be great misfortune for thieves.
མདུད་པ་འགྲོལ་བ་དང་། མེ་ལོང་གི་འཁོར་ལོས་སླུ་བར་བྱེད་པ་རྣམས་དང་། དེ་བཞིན་དུ་བཙོན་བསྲུངས་རྣམས་དང་། ཟས་སྡོམ་པ་དང་། གནོད་པ་བྱེད་པའི་སྐྱེ་བོ་མི་བཟད་པ་རྣམས་འཆི་བར་འགྱུར་རོ། ། ||| Rogues, gamblers, Pickpockets, “ ‘Those who deceive with a mirror, Cheats, prison keepers, Barbers, and bad people Who engage in evil conduct Will all be stricken at that time, Once shaken by that earthquake.
ས་གཡོས་ནས་ཞག་བདུན་ན་སྤྲིན་ཆེན་པོ་གཡོ་བར་འགྱུར་ཏེ། སྣུམ་ཞིང་གནག་ལ་རི་བོ་ལྟ་བུ་ལྡང་བར་འགྱུར་རོ་ཞེས་དྲང་སྲོང་རྣམས་ཀྱིས་བཤད་དོ། །གཉིད་འཕེལ་བ་དང་། གཞན་ཡང་བཀྲ་ཤིས་ཀྱི་དབྱངས་དང་། དབང་པོ་རྡོ་རྗེ་ལྟ་བུ་དང་། ||| “ ‘If immediately after The earth has trembled, After an interval of a week, There is a majestic cloud, {M.119} “ ‘Thick, dark as black eyeshadow, And resembling a great mountain, Indra begins to rain down then, As it is said by the great sages.
དེ་བཞིན་དུ་དེར་དུས་ཚིགས་ལྟར་ཉི་མ་དང་ཟླ་བ་སྒྲིབ་ཅིང་དེ་ལ་ཀུན་ནས་སྤྲིན་ཆེན་པོའི་མཚན་ཉིད་དང་ལྡན་ཞིང་དེ་དང་འདྲ་བར་མཐོང་ཞིང་ཐེ་ཚོམ་སྐྱེད་པའི་སྤྲིན་ལྡང་ཞིང་འབྲུག་བསྒྲགས་པ་འབྱུང་བར་རིག་པར་བྱའོ་ཞེས་དྲང་སྲོང་རྣམས་ཀྱིས་བཤད་དོ། ། ||| “ ‘Being like harbingers of good fortune, With Indra’s lightning bolt as victory banner, Thunderclouds appear at dusk, Obscuring the sun and the moon. “ ‘Clouds resembling pomegranates Appear in the sky at that time. Then, having beheld such signs, one may know That the quakes come with Indra; This would be then the prediction As it is given by great sages.
དེ་ལྟར་ཤེས་ནས་གདོན་མི་ཟ་བར་ས་བོན་ཐམས་ཅད་གདབ་པར་བྱའོ། །བྱ་རྣམས་བསྲུག་ན་ཚོང་པ་རྣམས་ཀྱིས་བྱ་བ་འགྲུབ་བོ། ། ||| “ ‘Then, in utter confidence, One should sow all seeds, And merchants should engage in commerce Without any fear at that time.
དེ་ལྟ་བུའི་ས་གཡོས་ན་ཐམས་ཅད་དུ་བཀྲ་ཤིས་པར་བརྗོད་དོ། །ཡང་ས་གཡོས་ནས་དེའི་རྗེས་ལ་ཞག་བདུན་ན་སྤྲིན་ལྡང་སྟེ། ཡང་འདི་ལྟར་ཀ་ཤི་ཀའི་གོས་འདྲ་བའི་སྤྲིན་གྱིས་ཁྱབ་ཅིང་མི་འཐུན་པའི་སྒྲ་སྒྲོགས་པས་ནུབ་ཕྱོགས་སུ་འགྲོ་ལ་ཆུ་ལ་གནས་པའི་ཤུ་ཤུ་མ་ར་དང་། ||| Of all the earthquakes, the quakes That come with Indra are commendable.
བ་ལུ་ཀ་དང་། ཉ་དང་། ཆུ་སྲིན་འདྲ་བའི་སྤྲིན་སྣང་ཞིང་ཉི་མ་དང་། ཟླ་བ་སྒྲིབ་པ་དེ་ལྟ་བུའི་མཚན་ཉིད་དང་ལྡན་པ་སྣང་ན། དེ་ནི་ཆུས་སྤྲུལ་པ་ཡིན་པར་རིག་པར་བྱའོ་ཞེས་དྲང་སྲོང་ཆེན་པོ་རྣམས་ཀྱིས་དེ་སྐད་བསྟན་པ་ཡིན་ནོ། ། ||| “ ‘If immediately after The earth has trembled, After an interval of a week, A cloud begins to cover the sky, {M.120} “ ‘And then a series of clouds arise With the appearance of silk, Moving progressively In the western direction, “ ‘And clouds resembling dolphins, Aquatic animals, fish, and makaras Come to appear at dusk, Obscuring the sun and the moon, “ ‘Then, having beheld such signs, one may know That the quakes come with water; This would then be the prediction As it is given by great sages.
སྒང་དང་རིའི་རྩེ་མོ་དང་། ཞིང་དང་། རླན་དང་བྲལ་བ་དེ་དག་རྣམས་ལ་ས་བོན་གདབ་པར་བྱ་སྟེ། དམའ་བར་ཉམས་པར་འགྱུར་རོ། ། ||| “ ‘One should then plant seeds In the higher lands, at mountain peaks, In fields, and in groves, Because in lower lands they will come to naught.
དེ་བཞིན་དུ་འདམ་དང་ཆུར་འགྱུར་ཞིང་དམའ་བར་འདུས་པར་འགྱུར་རོ། ། ||| “ ‘In mud, water, or dusty soil, At that time they will come to naught.
དེ་ལྟ་བུའི་ས་གཡོས་ན་ནི་ཆུའི་ཡིན་པས་ཤིས་པ་ཡིན་པར་རིག་པར་བྱའོ། ། ||| Of all the earthquakes, the quakes That come with water are commendable.
ཡང་འདི་ལྟར་ས་གཡོས་ནས་དེའི་རྗེས་ལ་ཞག་བདུན་གྱི་ནང་དུ་རླུང་དྲག་པོ་མི་བཟད་པ་ལྡང་དུས་ཚིགས་ལྟར་སེར་སྐྱར་སྣང་ལ་ཉི་མ་དང་ཟླ་བ་དམར་པོར་མཐོང་ཞིང་མཚན་ཉིད་དེ་ལྟ་བུ་དང་ལྡན་པར་སྣང་ན། དེ་ནི་རླུང་གི་ས་གཡོས་པ་ཡིན་པར་རིག་པར་བྱའོ། །དེ་ལྟ་བུ་གྱུར་པ་ནི་དྲང་སྲོང་རྣམས་ཀྱིས་བསྟན་པ་ཡིན་ནོ། ། ||| “ ‘If immediately after The earth has trembled, After an interval of a week, Terrible winds begin to blow, “ ‘Dusk appears tawny, And the sun and moon are red, Then, having beheld such signs, one may know That the quakes come with wind.
དེ་ལྟ་བུ་ལ་མཁས་པས་འགྲོ་བར་མི་བྱ་སྟེ། ||| {M.121} “ ‘Therefore there is the proclamation, As given by the great sages, That a wise person should not leave home And should guard himself at that time.
བདག་ཉིད་བསྲུང་བར་བྱ་ཞིང་དགྲ་ཟླ་ལས་འཇིགས་པ་ཆེན་པོ་འབྱུང་བས་ར་བ་དང་འོབས་ཀྱིས་མཆོག་ཏུ་བསྲུང་བར་བྱའོ། ། ||| “ ‘One should make a hiding place, And one should build walls and dig trenches. Being in conflict with neighbors, Fear will arise among the people.
དེ་ལྟ་བུ་ནི་སའི་ས་གཡོས་པའི་ཡོན་ཏན་ཐམས་ཅད་བསྟན་པ་ཡིན་ནོ། །མི་རྣམས་ཀྱིས་མེ་ཡིས་ས་གཡོས་པའི་ཁྱད་པར་རིག་པར་བྱ་སྟེ། ||| “ ‘Of all the earthquakes, Those that have the described qualities Have been determined by people To have come with wind.
གལ་ཏེ་ས་གཡོས་ནས་དེའི་རྗེས་ལ་ཞག་བདུན་གྱི་ནང་དུ་སྐར་མདའ་དྲག་པོ་ལྟུང་ཞིང་དུས་ཚིགས་ལྟར་དམར་ལ་ཉི་མ་དང་ཟླ་བ་ཡང་དམར་བར་སྣང་བ་དེ་ལྟ་བུའི་མཚན་ཉིད་དང་ལྡན་པར་སྣང་བ་ནི་མེ་ཡིས་གཡོས་པ་ཡིན་པར་རིག་པར་བྱའོ། ། ||| “ ‘If immediately after The earth has trembled, After an interval of a week, There are terrible showers of meteors, “ ‘Dusk has a red glow, And the sun and the moon turn red, Then, having beheld such signs, it may be known That the quakes come with fire. “ ‘Fire will burn kingdoms And any riches that have been saved. Columns of smoke will appear, And arms will be taken up violently.
བུད་ཤིང་ལས་མེ་མཆེད་པར་འགྱུར་བས་ནོར་བསྲེགས་ཤིང་དུ་བའི་ཕྲེང་བ་སྣང་ཞིང་མཚོན་མཆོག་ཏུ་འབབ་ལ་ཆུ་འཁྱིལ་བ་སྣང་བ་ཟླ་བ་དགུའི་བར་དུ་ཆར་མི་འབབ་པོ། ། ||| “ ‘The Vīṇā configuration will appear in the sky, And it will not rain for nine months.
དེ་ལྟ་བུའི་ས་གཡོས་པ་མི་བཟད་པ་ནི་མེ་ཡིས་གཡོས་པ་ཡིན་ཏེ། ||| Of all the earthquakes, the quakes that come With fire are the worst ones.
རྒྱལ་པོ་དང་རྒྱལ་རིགས་རྣམས་ལ་སྔ་དྲོའི་ཚ་བའི་གནོད་པ་འབྱུང་བར་འགྱུར་ཞིང་རྟ་དང་གླང་པོ་དང་བློན་པོ་ཆེན་པོ་རྣམས་ལ་ནི་ཕྱེད་ལ་ཚ་བའི་ནད་འབྱུང་ལ་ཕྱི་དྲོ་ནི་བ་ལང་དང་ཕྱུགས་རྣམས་ལ་ནད་འབྱུང་ངོ་། ། ||| “ ‘In the morning, kṣatriyas And kings will be afflicted; At midday, horsemen, elephant riders, Charioteers, and ministers.
