སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
བུ་དེ་དག་ལ་ཚོང་དཔོན་ནམ་ཁྱིམ་བདག་དེ་མཚུངས་པར་བྱམས་ཤིང་། མཚུངས་པར་སྦྱོར་བར་གྱུར་པ་ལས་ ||| The merchant or householder loves all of them equally, and he treats them all equally.
དེའི་བུ་དེ་དག་བྱིས་པ་ཡིན་ཏེ། གོག་པ་མི་ཤེས་པ་མི་མཁས་པ་དག་ཅིག་ཡོད་ལ། ||| All the children are infants who crawl around, unaware and unskilled.
དེ་ནས་ཚོང་དཔོན་ནམ་ཁྱིམ་བདག་དེའི་ཁྱིམ་མེ་ཐར་ཏེ། དེའི་བུ་དེ་དག་ཀྱང་སོ་སོ་ན་འཁོད་པར་གྱུར་ན། ||| Now imagine that this merchant’s or householder’s house catches fire while the children are all in different places.
རིགས་ཀྱི་བུ་དེ་ཇི་སྙམ་དུ་སེམས། ||| Noble son, what do you think?
ཚོང་དཔོན་ནམ་ཁྱིམ་བདག་དེ་འདི་ནི་སྔར་ཇེ་དབྱུང་ངོ་། །དེ་ནས་ཕྱིས་འདི་དབྱུང་ངོ་སྙམ་དུ་དེ་ལྟར་སེམས་སམ། ||| Would that merchant or householder be thinking, ‘Let me get such-and-such child out first, and then the other children’?”
བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་གསོལ་པ། བཅོམ་ལྡན་འདས་མ་ལགས་སོ། ||| “No, Blessed One, he would not,” answered the bodhisattva Sarva­nīvaraṇa­viṣkam­bhin.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། བཅོམ་ལྡན་འདས་ ||| “And why would he not think like this? Because, Blessed One,
ཚོང་དཔོན་ནམ་ཁྱིམ་བདག་དེ་བུ་རྣམས་ལ་སེམས་སྙོམས་པས་དེ་གང་དང་གང་དག་ཇི་ལྟར་མཇལ་བ་དེ་དང་དེ་ཉིད་དེ་བཞིན་དུ་འབྱིན་ཏོ། ||| that merchant or householder has equal concern for all the children. He would, therefore, deliver them from the house whenever he encountered them.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་ ||| “Similarly, noble son,” continued the Blessed One,
བྱིས་པ་ལྟ་བུའི་སེམས་ཅན་ཐམས་ཅད་ནི་བྱང་ཆུབ་སེམས་དཔའི་བུ་དང་འདྲ་སྟེ། འཕགས་པ་རྣམས་ནི་མ་ཡིན་ཏེ། ||| “all infantile sentient beings are like the bodhisattvas’ own children, not noble beings.
བྱང་ཆུབ་སེམས་དཔའ་དེ་བྱིས་པ། མི་གསལ་བ། མི་མཁས་པ། འགྲོ་བ་དྲུག་སོ་སོ་ན་གནས་པ་ ||| Bodhisattvas see these infantile, dull, and unskilled beings that are present in each of the six realms.
དེ་དག་འཁོར་བའི་ཁྱིམ་མེ་ཐར་བ་ནས་གང་དང་གང་ཇི་ལྟར་ཡོངས་སུ་སྨིན་པར་འགྱུར་བ་དེ་དང་དེ་ཉིད་དེ་ལྟར་འབྱིན་ཏོ། ||| In accordance with these beings’ level of maturation, bodhisattvas will deliver them from the burning house of cyclic existence.
ཕྱུང་ནས་ཀྱང་མྱ་ངན་ལས་འདས་པའི་དབྱིངས་ཞི་བར་རབ་ཏུ་གཞོག་གོ། ||| Having saved them from the fire, they will gently establish them within the field of the transcendence of suffering.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་པོ་དེ་དག་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་ཅན་ཐམས་ཅད་ལ་སེམས་སྙོམས་པ་རྣམས་ཡིན་ནོ། ||| Noble son, bodhisattvas who possess ten such qualities have equal concern for all sentient beings.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་དང་རིམ་གྲོ་བྱ་བ་ལ་མཁས་པ་རྣམས་ཡིན་ནོ། ||| “Noble son, bodhisattvas endowed with ten qualities have skill in worshiping and venerating the thus-gone ones.
བཅུ་གང་ཞེ་ན། རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ཆོས་ལ་མཆོད་པས་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་དང་། བསྙེན་བཀུར་བྱས་པ་ཡིན་གྱི་ཟང་ཟིང་གི་མཆོད་པས་ནི་མ་ཡིན་ནོ། ||| What are those ten? They are as follows. Bodhisattvas worship and venerate the thus-gone ones by means of worshiping the Dharma, not through material worship.
ནན་ཏན་གྱིས་མཆོད་པ་དང་། སེམས་ཅན་རྣམས་ལ་ཕན་ཞིང་བདེ་བར་བྱ་བ་དང་། ||| They worship with persistence, and act for the welfare and happiness of sentient beings.
སེམས་ཅན་རྣམས་ལ་ཕན་འདོགས་པར་བྱེད་པ་དང་། སེམས་ཅན་རྣམས་ཀྱི་དོན་ལ་ཞུགས་པ་དང་། ཡི་དམ་མི་གཏོང་བ་དང་། བྱང་ཆུབ་སེམས་དཔའི་ལས་མི་གཏོང་བ་དང་། ||| They bring benefit to sentient beings and pursue the aims of sentient beings, never relinquishing their commitment, and never abandoning their bodhisattva activities.
ཇི་ལྟར་སྨྲས་པ་བཞིན་དུ་བྱེད་པ་དང་། ཡིད་ཡོངས་སུ་མི་སྐྱོ་བ་དང་། བྱང་ཆུབ་ཀྱི་སེམས་མི་གཏོང་བས་ ||| They act in accord with what they teach, free of weariness, and without letting go of the mind of awakening.
རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་རྣམས་ལ་མཆོད་པ་དང་། བསྙེན་བཀུར་བྱས་པ་ཡིན་གྱི། ||| Noble son, this is how they worship and venerate the thus-gone ones.
ཟང་ཟིང་གི་མཆོད་པས་ནི་མ་ཡིན་ནོ། ||| Their worship is not done through material things.
རིགས་ཀྱི་བུ་དེ་ཅིའི་ཕྱིར་ཞེ་ན། དེ་བཞིན་གཤེགས་པ་རྣམས་ནི་ཆོས་ཀྱི་སྐུ་སྟེ། ||| And why, noble son, is this so? Because the thus-gone ones are the Dharma body.
ཆོས་ལ་མཆོད་ན་དེ་བཞིན་གཤེགས་པ་རྣམས་ལ་མཆོད་པར་འགྱུར་རོ། ||| Hence, in worshiping the Dharma, they worship the thus-gone ones.
རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་རྣམས་ནི་ནན་ཏན་གྱིས་ཡང་དག་པར་གྲུབ་པ་ཡིན་ཏེ། ||| “Noble son, the thus-gone ones are firmly established in their accomplishment.
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་ཞིང་བདེ་བ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་འདོགས་པ་དང་། སེམས་ཅན་གྱི་དོན་བྱ་བའི་ཕྱིར་སྐྱེའོ། ||| They appear for the welfare and happiness of sentient beings, for the sake of benefiting sentient beings, and for the sake of accomplishing the aims of sentient beings.
རིགས་ཀྱི་བུ་སེམས་ཅན་གྱི་དོན་དེ་ཡང་ཡི་དམ་བཏང་བ་དང་། བྱང་ཆུབ་སེམས་དཔའི་ལས་ལ་རྒྱབ་ཀྱིས་ཕྱོགས་པ་དང་། བརྫུན་དུ་སྨྲ་བ་དང་། སྨྲས་པ་ལས་ཉམས་པ་དང་། དམ་བཅས་པ་ལས་ཉམས་པ་དང་། ཡིད་ཡོངས་སུ་སྐྱོ་བ་དང་བྱང་ཆུབ་ཀྱི་སེམས་དང་བྲལ་བས་ཡང་དག་པར་འཐོབ་པར་མི་ནུས་སོ། ||| Noble son, the aims of sentient beings could not be accomplished if they were to relinquish their commitment, turn their back on the activities of the bodhisattvas, speak lies, fail to live up to what they had said, fail to abide by their pledge, develop weariness, and separate from the mind of awakening.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ནི་སེམས་ཅན་གྱི་དོན་ལ་རག་ལས་པ་སྟེ། ||| the bodhisattvas’ awakening to unexcelled and complete buddhahood depends on accomplishing the aims of sentient beings.
གལ་ཏེ་སེམས་ཅན་རྣམས་མེད་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་མི་ནུས་སོ། ||| If there were no sentient beings, the bodhisattvas could not achieve complete buddhahood.
དེ་བས་ན་རིགས་ཀྱི་བུ་ཆོས་ལ་མཆོད་པས་དེ་བཞིན་གཤེགས་པ་རྣམས་ལ་མཆོད་ཅིང་རིམ་གྲོ་བྱས་པ་ཡིན་གྱི་ ||| Thus, noble son, they worship and venerate the thus-gone ones by means of worshiping the Dharma.
ཟང་ཟིང་གི་མཆོད་པས་མ་ཡིན་པ་དེ་ལྟར་བལྟའོ། ||| Their worship is not in terms of material things.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་པོ་དེ་དག་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་དང་། རིམ་གྲོ་བྱ་བ་ལ་མཁས་པ་རྣམས་ཡིན་ནོ། ||| Noble son, bodhisattvas who possess ten such qualities have skill in worshiping and venerating the thus-gone ones.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་ང་རྒྱལ་བཅོམ་པ་རྣམས་ཡིན་ནོ། ||| “Noble son, bodhisattvas endowed with ten qualities crush pride.
