༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་དྷརྨ་སང་གཱི་ཏི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཡང་དག་པར་སྡུད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Dharma Council
སྨྲས་པ། རིགས་ཀྱི་བུ་དེ་ལྟ་བུའོ། ། ||| “So he did, child of good family,” replied Subhūti.
བྱང་ཆུབ་སེམས་དཔའ་རྩོམ་པ་མེད་ཀྱིས་སྨྲས་པ། གལ་ཏེ་སྡུག་བསྔལ་ནི་འདུས་བྱས་ཏེ་དེ་བརྫུན་པ་ཡིན་ན། ཁྱོད་འདི་ལྟར་ཅི་ཞིག་ལས་སྡུག་བསྔལ་འཕགས་པའི་བདེན་པའོ་སྙམ་དུ་སེམས། ||| The bodhisattva Nirārambha then asked, “If suffering is compounded and thus false, what makes you think suffering is a truth of the noble ones?”
རབ་འབྱོར་གྱིས་སྨྲས་པ། རིགས་ཀྱི་བུ་སྡུག་བསྔལ་ནི་འདུས་བྱས་ཏེ་བརྫུན་པའོ། ། ||| “Child of good family,” replied Subhūti, “suffering is compounded and thus false.
སྡུག་བསྔལ་ཡོངས་སུ་ཤེས་པ་ནི་བདེན་པའོ། ། ||| Truth is knowing suffering.”
སྨྲས་པ། གལ་ཏེ་སྡུག་བསྔལ་ནི་འདུས་བྱས་བརྫུན་པ་སླུ་བའི་ཆོས་ཅན་ཏེ་ཡང་དག་པ་མ་ཡིན་ན་དེ་ཡོངས་སུ་ཤེས་པ་ཡང་བདེན་པར་རུང་ངམ། ||| Nirārambha then asked, “If suffering is compounded, false, deceptive, and unreal, then how would knowing it be truly appropriate?
རབ་འབྱོར་གྱིས་སྨྲས་པ། རིགས་ཀྱི་བུ་དེ་ལྟའོ། ། ||| “Indeed, child of good family,” replied Subhūti.
བྱང་ཆུབ་སེམས་དཔའ་རྩོམ་པ་མེད་ཀྱིས་སྨྲས་པ། བཙུན་པ་རབ་འབྱོར་ཁྱོད་ཀྱི་སྡུག་བསྔལ་ཡོངས་སུ་ཤེས་པ་འཕགས་པའི་བདེན་པར་ག་ལ་འགྱུར། ||| The bodhisattva Nirārambha then asked, “Honorable Subhūti, in what sense is your knowing of suffering a truth of the noble ones?”
རབ་འབྱོར་གྱིས་སྨྲས་པ། རིགས་ཀྱི་བུ་འགོག་པ་ནི་འདུས་མ་བྱས་པ་ཡིན་ན། དེ་ཅིའི་ཕྱིར་འཕགས་པའི་བདེན་པར་མི་འགྱུར། ||| “Child of good family,” replied Subhūti, “if cessation is uncompounded, how is it not the truth of the noble ones?”
བྱང་ཆུབ་སེམས་དཔའ་རྩོམ་པ་མེད་ཀྱིས་སྨྲས་པ། བཙུན་པ་རབ་འབྱོར་ཅི་འགོག་པ་དེ་ཉིད་འགོག་པའི་བདེན་པའམ་འོན་ཏེ་ཆོས་གཞན་འགའ་ཞིག་འགགས་པ་ལགས་སམ། ||| The bodhisattva Nirārambha then asked, “Honorable Subhūti, is cessation itself the truth of cessation, or the ceasing of some other phenomenon?
ཅི་ཞིག་འགགས་པས་འགོག་པའི་བདེན་པར་ཡིད་ཆེས། ||| Because of the cessation of what is it the truth of cessation?”
རབ་འབྱོར་གྱིས་སྨྲས་པ། རིགས་ཀྱི་བུ་སྡུག་བསྔལ་འགོག་པས་འགོག་པའི་བདེན་པ་ཞེས་བརྗོད་དོ། ། ||| “Child of good family,” replied Subhūti, “it is called ‘the truth of cessation’ because of the cessation of suffering.”
བྱང་ཆུབ་སེམས་དཔའ་རྩོམ་པ་མེད་ཀྱིས་སྨྲས་པ། གནས་བརྟན་རབ་འབྱོར་གྱིས་སྡུག་བསྔལ་ནི་འདུས་བྱས་ཏེ། བརྫུན་པ་སླུ་བའི་ཆོས་སོ་ཞེས་མ་སྨྲས་སམ། ||| The bodhisattva Nirārambha then asked, “Did the elder Subhūti not say that suffering is a compounded, false, and deceptive phenomenon?”
རབ་འབྱོར་གྱིས་སྨྲས་པ། རིགས་ཀྱི་བུ་དེ་ལྟའོ། ། ||| “Indeed, child of good family,” replied Subhūti.
བྱང་ཆུབ་སེམས་དཔའ་རྩོམ་པ་མེད་ཀྱིས་སྨྲས་པ། བཙུན་པ་རབ་འབྱོར་ཆོས་གང་བརྫུན་པ་ཡང་དག་པར་མ་ཡིན་པ་དེ་ལ་ནི་འགོག་པ་མེད་ན་ཁྱོད་ཀྱི་སྡུག་བསྔལ་དེ་འགོག་པར་ག་ལ་འགྱུར། ||| The bodhisattva Nirārambha then asked, “Honorable Subhūti, if there is no cessation for a phenomenon that is false and incorrect, in what sense does your suffering cease?”
དེ་སྐད་ཅེས་སྨྲས་པ་དང་། ཚེ་དང་ལྡན་པ་རབ་འབྱོར་གྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྩོམ་པ་མེད་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །རིགས་ཀྱི་བུ་ཁྱོད་ཀྱི་སྤོབས་པ་ལ་བདག་རྗེས་སུ་ཡི་རང་ངོ་། ། ||| Once that had been said, the venerable Subhūti said to the bodhisattva great being Nirārambha, “Child of good family, I rejoice in your confident eloquence.
སེམས་ཅན་ཐམས་ཅད་ཀྱིས་ཀྱང་ཁྱོད་ཀྱི་སྤོབས་པ་ཐོབ་པར་གྱུར་ཅིག ། ||| May all beings also attain your confident eloquence.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བདེན་པ་ནི་གང་། ||| Child of good family, what is the truth for bodhisattvas?
བདེན་པ་མངོན་པར་རྟོགས་པ་ནི་གང་། ||| What truth do they clearly comprehend?”
བྱང་ཆུབ་སེམས་དཔའ་རྩོམ་པ་མེད་ཀྱིས་སྨྲས་པ། བཙུན་པ་རབ་འབྱོར་ཆོས་ཐམས་ཅད་ནི་བདེན་པའི་ཚུལ་དང་འགལ་བ་མ་ཡིན་ནོ། ། ||| “Honorable Subhūti,” replied the bodhisattva Nirārambha, “there is no contradiction between any phenomena and the mode of the truth.
དེ་བས་ན་ཆོས་ཐམས་ཅད་མངོན་པར་རྟོགས་པ་ནི་བདེན་པ་མངོན་པར་རྟོགས་པའོ། ||| Therefore, the clear comprehension of all phenomena is the clear comprehension of the truth.
བཙུན་པ་རབ་འབྱོར་ཆོས་ཐམས་ཅད་ནི་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་སྟེ། ||| Honorable Subhūti, all phenomena arise dependently.
རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་མངོན་པར་རྟོགས་པ་ནི་བདེན་པ་མངོན་པར་རྟོགས་པའོ། ། ||| The clear comprehension of dependent arising is the clear comprehension of the truth.
ཆོས་ཐམས་ཅད་ནི་སྟོང་པ་སྟེ། ||| All phenomena are empty.
སྟོང་པ་ཉིད་ཁོང་དུ་ཆུད་པ་ནི་བདེན་པའོ། ། ||| Understanding emptiness is the truth.
སྟོང་པ་ཉིད་མངོན་པར་རྟོགས་པ་ནི་བདེན་པ་མངོན་པར་རྟོགས་པའོ། ། ||| The clear comprehension of emptiness is the clear comprehension of the truth.
ཆོས་ཐམས་ཅད་ནི་མ་སྐྱེས་པ་སྟེ་མི་སྐྱེ་བ་ཁོང་དུ་ཆུད་པ་ནི་བདེན་པའོ། ། ||| All phenomena are unarisen. Understanding nonarising is the truth.
མི་སྐྱེ་བ་མངོན་པར་རྟོགས་པ་ནི་བདེན་པ་མངོན་པར་རྟོགས་པའོ། ། ||| The clear comprehension of nonarising is the clear comprehension of the truth.
བཙུན་པ་རབ་འབྱོར་གང་དུ་བདེན་པ་མངོན་པར་རྟོགས་པ་དེ་ལ་ཆོས་གང་ཡང་སྒྲུབ་པའམ་སྤང་བ་མེད་དོ། ། ||| Honorable Subhūti, when there is comprehension of the truth, no phenomena are established or rejected.
བཙུན་པ་རབ་འབྱོར་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བདེན་པ་མངོན་པར་རྟོགས་པ་ནི་ཆོས་གང་ཡང་མངོན་པར་མི་སྒྲུབ་སྟེ། ||| Honorable Subhūti, the bodhisattvas’ clear comprehension of the truth does not involve any phenomena.
བཙུན་པ་རབ་འབྱོར་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བདེན་པ་མངོན་པར་རྟོགས་པའོ། ། ||| This, honorable Subhūti, is the bodhisattvas’ clear comprehension of the truth.
བཙུན་པ་རབ་འབྱོར་བདེན་པ་བདེན་པ་ཞེས་བྱ་བ་འདི་ནི་འགྱུར་བ་མེད་པའི་ཆོས་ཀྱི་ཚིག་བླ་དགས་སོ། ། ||| “Honorable Subhūti, what we call ‘truth’ is another way of referring to the quality of being unchanging.
བཙུན་པ་རབ་འབྱོར་ཅི་ཙམ་དུ་རྟོག་པ་དེ་ཙམ་དུ་ལོག་པ་སྟེ། རྟོག་པ་དང་བྲལ་བ་ནི་ཐར་པའོ། ། ||| Honorable Subhūti, even the slightest concept is mistaken, while being free of concepts is liberation.
བཙུན་པ་རབ་འབྱོར་གང་གི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱིས་སངས་རྒྱས་སུ་འགྱུར་རོ་ཞེས་ལུང་བསྟན་པས་ཁྱོད་རྙེད་པ་ལེགས་པར་རྙེད་དོ་ཞེས་སྨྲས་པ་ནི་བཙུན་པ་རབ་འབྱོར་གང་དག་རྙེད་པ་ལེགས་པར་རྙེད་པ་དེ་དག་ལ་ནི་ལུང་མི་སྟོན་ཏོ། ། ||| Honorable Subhūti, because the Blessed One said ‘become a buddha,’ you then said ‘easily achieve success.’
གང་དག་རྙེད་པ་ལེགས་པར་མ་རྙེད་ཅིང་རྙེད་པ་མེད་པ་དེ་དག་ལ་ནི་ལུང་སྟོན་ཏོ། ། ||| But, honorable Subhūti, the prophecy is not given to those who will easily achieve success; it is given to those who will not easily achieve success, to those for whom success does not exist.
གང་དག་རྙེད་པས་དགའ་བར་མི་སེམས་ཤིང་མ་རྙེད་པས་སྲོ་ཤི་བར་མི་འགྱུར་བ་དེ་དག་ལ་ལུང་སྟོན་ཏོ། ། ||| The prophecy is given to those who take no joy in success and feel no dejection in failure.
གང་དག་འཁོར་བ་ལས་ཀྱང་མི་གཡོ་ལ་མྱ་ངན་ལས་འདས་པ་ཡང་ཐོབ་པར་འགྱུར་བ་དེ་དག་ལ་ལུང་སྟོན་ཏོ། ། ||| The prophecy is given to those who do not leave saṃsāra behind while attaining nirvāṇa.
