སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོས། བཅོམ་ལྡན་འདས་ལེགས་སོ་ཞེས་གསོལ་ཏེ། ། ||| The bodhisattva Padmaśrīgarbha said, “Blessed One, excellent!”
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| and he listened as the Blessed One had instructed him. Then the Blessed One said,
རིགས་ཀྱི་བུ་འདི་ལ་མི་གང་ལ་ལ་སྟོབས་དང་ལྡན་པ། མཐུ་དང་ལྡན་པ། བསོད་ནམས་ཀྱི་ཕུང་པོ་ཆེན་པོ་དང་ལྡན་པ་ཞིག་བྱུང་སྟེ། ||| “Son of noble family, say there is a man who is strong, powerful, and with great amounts of merit.
ཇི་ཙམ་སེམས་ཅན་གྱི་ཁམས་སུ་གདགས་པས་བཏགས་པའི་སེམས་ཅན་གྱི་ཁམས་དེ་ནི་དེ་བཞིན་གཤེགས་པས་ཆེས་མང་བར་གསུངས་ཀྱི། ||| Now, however many beings one may think there are in what one thinks of as the realm of beings, the Thus-Gone One has said that there are many more than that;
སའི་ཁམས་ནི་དེ་ལྟ་མ་ཡིན་ཏེ། ||| it is not like the realm of the earth.
སེམས་ཅན་དེ་དག་ཐམས་ཅད་བསྐལ་པ་བྱེ་བ་མཐའ་ཡས་མུ་མེད་པར་མགོ་བོའམ། ཕྲག་པའམ། ལག་པ་ན་ཐོགས་ཏེ། ||| All those beings that person supports with his head, shoulders, or hands for limitless tens of millions of eons.
ཇི་སྲིད་འཚོའི་བར་དུ་དེ་དག་ལ་གོས་དང་ཟས་དག་བྱིན་ཏེ། ||| For as long as he lives, he offers them clothing and food,
བདེ་བའི་ཡོ་བྱད་ཐམས་ཅད་ཀྱིས་རིམ་གྲོར་བྱེད། ||| and provides them with all types of pleasant provisions and services.
བླ་མར་བྱེད་ན་པད་མའི་དཔལ་གྱི་སྙིང་པོ་མི་དེ་གཞི་དེ་ལས་བསོད་ནམས་ཀྱི་ཕུང་པོ་མང་དུ་འཕེལ་ལམ། ||| Now tell me, Padmaśrīgarbha, would that man’s merit increase greatly on this basis?”
སེམས་ཅན་གཅིག་ལ་ཡང་སེ་གོལ་གཏོགས་པ་ཙམ་ཞིག་བྱམས་པའི་སེམས་ཀྱིས་ཁྱབ་པར་བགྱིས་ན་དེ་ཙམ་གྱིས་ཀྱང་བསོད་ནམས་མང་དུ་སྐྱེད་ན། ||| “A lot of merit is created when just a single person develops a loving attitude, even if only for as long as it takes him to snap his fingers.
བསྐལ་པ་བྱེ་བ་མཐའ་ཡས་མུ་མ་མཆིས་པར་སེམས་ཅན་ཐམས་ཅད་བཟུང་སྟེ། བདེ་བའི་ཡོ་བྱད་ཐམས་ཅད་ཀྱིས་རིམ་གྲོ་བགྱིས་པ་ལྟ་སྨོས་ཀྱང་ཅི་འཚལ། ||| So how much more would be created if someone embraces all beings with love and serves them with all necessities for their happiness for endless, limitless, tens of millions of eons?”
པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཁྱོད་མོས་པར་བྱའོ། །ཁྱོད་ཀྱི་ཁོང་དུ་ཆུད་པར་བྱའོ། ||| “Padmaśrīgarbha, you should be inspired by this, and you should fully understand it:
གང་དེ་བཞིན་གཤེགས་པས་གསུངས་པའི་མདོ་སྡེ་འདི་ལྟ་བུ་འདི་བྱང་ཆུབ་ཀྱི་སེམས་ལ་གནས་ཏེ། ལེན་པ་དང་། འཛིན་པ་དང་། ཀློག་པ་དང་། ཀུན་ཆུབ་པར་བྱེད་པ་དང་། གཞན་དག་ལ་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་པའི་རིགས་ཀྱི་བུ་དང་། རིགས་ཀྱི་བུ་མོ་དད་པ་ལ་ཞུགས་པ། མོས་པ་མང་བ་དག་ ||| any son or daughter of noble family who, immersed in faith and full of interest, develops the mind of awakening based on a sūtra that the Thus-Gone One has taught, like this one, and takes hold of the sūtra, remembers it, reads it, understands it, and teaches it extensively to others
གཞི་དེ་ལས་བསོད་ནམས་ཀྱི་ཕུང་པོ་ཆེས་མང་དུ་སྐྱེད་དོ། ། ||| will, based on that foundation, give rise to a much greater amount of merit.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva Padmaśrīgarbha declared to the Blessed One,
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པས་གསུངས་པའི་མདོ་སྡེ་འདི་ལྟ་བུ་འདི་དེ་བཞིན་གཤེགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་ནས་ཀྱང་བདག་གིས་བླང་བར་བགྱི། བཟུང་བར་བགྱི། བཅང་བར་བགྱི། བཀླག་པར་བགྱི། ཀུན་ཆུབ་པར་བགྱི། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་བསྟན་པར་བགྱིའོ། ། ||| “Blessed One, when the Thus-Gone One has passed into nirvāṇa, I will take hold of this sūtra, which has been taught by the Thus-Gone One, and grasp it, read it, understand it, and teach it extensively to others.”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་ཚིག་དེ་སྐད་ཅེས་སྨྲས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་དགུ་བཅུ་རྩ་དྲུག་གིས་དབྱངས་གཅིག་ཏུ་ཚིག་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| The bodhisattva Padmaśrīgarbha and the 960 million bodhisattvas then all declared, in a single voice,
བཅོམ་ལྡན་འདས་བདག་ཅག་གིས་ཀྱང་མདོ་སྡེ་འདི་ལྟ་བུ་འདི་བླང་བར་བགྱི། བཟུང་བར་བགྱི། བཅང་བར་བགྱི། བཀླག་པར་བགྱི། ཀུན་ཆུབ་པར་བགྱི། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་བསྟན་པར་བགྱིའོ། ། ||| “Blessed One, we too will take hold of this sūtra and grasp it, read it, understand it, and teach it extensively to others.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One said to the bodhisattva Padmaśrīgarbha,
པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བུད་མེད་ཀྱིས་ཐོས་མ་ཐག་ཏུ་བུད་མེད་ཀྱི་དངོས་པོ་ལས་འགྱུར་ཏེ། ། ||| “Padmaśrīgarbha, if any woman hears this Dharma teaching, she will immediately be transformed from the state of a woman,
རྒྱུ་གཉིས་མ་གཏོགས་པ་ནི་འདི་ལྟ་སྟེ། ཕྲག་དོག་དང་། སེར་སྣའོ། ། ||| unless there are the two causative factors, jealousy and stinginess.”
དེ་ནས་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་། ||| Then Śakra, who is lord of the gods, Brahmā, who rules the Sahā world, the four great kings,
ལྷའི་བུ་བརྒྱ་སྟོང་དུ་མ་དག་གིས་ལྷའི་མེ་ཏོག་མན་དཱ་ར་བ་དག་བཅོམ་ལྡན་འདས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་ལ་མངོན་པར་གཏོར་ཏོ། ||| and many hundreds of thousands of gods scattered divine māndārava flowers on the Blessed One and the bodhisattva great beings.
ལྷའི་སིལ་སྙན་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་གསིལ་ནས་ཚིག་འདི་སྐད་ཅེས་ཀྱང་འཛེར་ཏོ། ||| While playing billions of divine instruments, they called out,
ཆོས་ཀྱི་རྣམ་གྲངས་འདི་གང་དག་གི་རྣ་ལམ་དུ་གྲག་པ་དག་ལེགས་པར་བཏོན་ནས་འཛིན་པ་དང་། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་པའི་སེམས་ཅན་དེ་དག་གིས་ནི་རྙེད་པ་ལེགས་པར་རྙེད་པ་ལགས་སོ། ||| “Those sentient beings who hear this Dharma teaching, grasp it, and teach it extensively to others will reap a great profit.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་དག་ཇི་སྐད་སྨྲས་པ་དེ་དེ་བཞིན་ཏེ། ། ||| The Blessed One said, “Sons of noble family, what you have said is true.
ཆོས་ཀྱི་རྣམ་གྲངས་འདི་གང་དག་གི་ལག་ན་འདུག་པ་དང་། གང་དག་ཐོས་ནས་མོས་པར་འགྱུར་བའི་སེམས་ཅན་དེ་དག་ནི་སངས་རྒྱས་ཁྲི་ལ་དགེ་བའི་རྩ་བ་བསྐྱེད་པར་འགྱུར། ། ||| Any sentient being who holds this Dharma teaching in their hands or hears it, and subsequently feels devotion for it, will give rise to roots of virtue before ten thousand buddhas.”
དེ་ནས་སྲིང་མོ་རྡུལ་དང་བྲལ་བ་ཞེས་བྱ་བ། འཁོར་དེར་འདུས་པར་གྱུར་ཏེ། འདུག་པ་དེ། སྟན་ལས་ལངས་ནས་ལྷག་པའི་བསམ་པས་ཚིག་འདི་སྐད་ཅེས། ||| Then a young girl named Viraja rose from her seat in the congregation and, motivated by altruistic thoughts, announced,
བཅོམ་ལྡན་འདས་བདག་གིས་ཀྱང་ལྷག་པའི་བསམ་པས་ཕྲག་དོག་དང་། སེར་སྣ་སྤངས་ཏེ། ||| “Blessed One, with an altruistic motivation I have decided to give up any jealousy and stinginess,
