འཕགས་པ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་རབ་ཏུ་སྒོམ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Cultivating Trust in the Great Vehicle
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་དགེ་བའི་རྩ་བ་གཅོད་པ་ལ་དད་པའི་མཚོན་ཆའི་གཉེན་པོར་གྱུར་པའི་ཕྱིར་རྡོ་རྗེ་ལྟ་བུར་བལྟའོ། ། ||| “Trust in the Great Vehicle of the bodhisattvas should be viewed as a vajra because it overcomes all the weapons aimed at trust that otherwise threaten to cut the roots of virtue.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་དང་། གདུང་བར་བྱེད་པ་དང་། མྱ་ངན་གྱི་མེའི་གཉེན་པོར་གྱུར་པའི་ཕྱིར་ཆུ་ལྟ་བུར་བལྟའོ། ། ||| “Trust in the Great Vehicle of the bodhisattvas should be viewed as water because it counteracts the fires of wailing, suffering, unhappiness, conflict, torment, and sorrow.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་མི་འདོད་པ་ཐམས་ཅད་དང་ཕྲད་པར་བྱེད་པའི་ཉོན་མོངས་པའི་དགྲའི་གཉེན་པོར་གྱུར་པའི་ཕྱིར་ལག་ཆ་བཟང་པོ་ལྟ་བུར་བལྟའོ། ། ||| “Trust in the Great Vehicle of the bodhisattvas should be viewed as a fine tool because it is an antidote to the enemies of disturbing emotions that create unwanted situations.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་རྟག་པར་རྒྱུན་དུ་དཀར་པོའི་ཕྱོགས་ཀྱི་ཆོས་རྣམ་པར་འཕེལ་བའི་ཕྱིར་ཟླ་བ་ལྟ་བུར་བལྟའོ། ། ||| “Trust in the Great Vehicle of the bodhisattvas should be viewed as the moon because it continuously increases the entirety of the wholesome Dharma.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་སེམས་ཅན་ཚད་མེད་པ་ལ་ཡེ་ཤེས་ཚད་མེད་པས་སྣང་བར་བྱ་བ་དང་འཐུན་པའི་ཕྱིར་ཉི་མ་ལྟ་བུར་བལྟའོ། ། ||| “Trust in the Great Vehicle of the bodhisattvas should be viewed as the sun because it brings light to endless beings through limitless wisdom.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་དམ་པའི་ཆོས་ཀྱི་ཆར་ཚད་མེད་པ་འབེབས་པ་དང་འཐུན་པའི་ཕྱིར་སྤྲིན་ཆེན་པོ་ལྟ་བུར་བལྟའོ། ། ||| “Trust in the Great Vehicle of the bodhisattvas should be viewed as a great cloud because it leads to the endless rain of Dharma.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་གཞན་མུ་སྟེགས་ཅན་དང་། ཕས་ཀྱི་རྒོལ་བ་ཐམས་ཅད་གཞོམ་པ་དང་འཐུན་པའི་ཕྱིར་ལྕེ་འབབ་པ་ལྟ་བུར་བལྟའོ། ། ||| “Trust in the Great Vehicle of the bodhisattvas should be viewed as a lightning because it destroys all attacks from non-Buddhists and opposing forces.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་སེམས་ཅན་ཐམས་ཅད་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་འཇོམས་པར་བྱེད་པ་དང་འཐུན་པའི་ཕྱིར་ལོ་ལེགས་པ་ལྟ་བུར་བལྟའོ། ། ||| “Trust in the Great Vehicle of the bodhisattvas should be viewed as a bountiful harvest because it leads to conquering the obscurations of all beings.
རིགས་ཀྱི་བུ་ངས་མངོན་པར་ཤེས་ཏེ། འདས་པའི་དུས་ན་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་གི་ཚེ་རྒྱལ་པོའི་ཁབ་འདི་ཉིད་དུ་བུད་མེད་གྲོང་པའི་ཐ་ཆད་ཕྱག་དར་བྱེད་པ་ངན་འགྲོ་བ་ཞིག་བྱུང་སྟེ། ||| “Noble son, I clearly see that in the past, at the time of the perfect buddha Kāśyapa, right here in Rājagṛha, there lived an unfortunate woman who, being a sweeper, was the lowest in the village.
དེས་ཁྱིམ་བདག་ཆེ་གེ་མོ་ཞེས་བྱ་བ་ཞིག་གི་ཁྱིམ་དུ་སངས་རྒྱས་ལ་སོགས་པ་དགེ་སློང་གི་དགེ་འདུན་སྤྱན་འདྲེན་ཅེས་ཐོས་ནས་ ||| One day she heard that the Buddha and his assembly of monks had been requested to visit a certain householder’s property.
དེ་བཀྲེས་པ་དང་། སྐོམ་པས་ཉེན་པས་ཁྱིམ་བདག་དེའི་ཁྱིམ་ག་ལ་བ་དེར་སོང་བ་དང་། ||| Since she was tormented by hunger and thirst, she also went to where the householder lived.
དེར་འཁོར་གྱི་ཁྱམས་ན་སངས་རྒྱས་ལ་སོགས་པ་དགེ་སློང་གི་དགེ་འདུན་རབ་ཏུ་ཞི་བའི་སྤྱོད་ལམ་དུ་གནས་པ་དང་བཤོས་འདྲིམ་པ་མཐོང་ངོ་། ། ||| In the courtyard, she saw the Buddha and his assembly of monks sitting peacefully as their meals were being offered.
བུད་མེད་དེས་སྤྱོད་ལམ་ཕུན་སུམ་ཚོགས་པ་དེ་དང་ཚོགས་ཀྱིས་བསྐོར་བ་མཛེས་པ་དེ་ཡང་མཐོང་ནས། ||| As the woman beheld their perfect behavior and saw the Buddha sitting so beautifully, surrounded by his followers, she exclaimed,
ཀྱེ་མའོ་བཅོམ་ལྡན་འདས་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་རབ་ཏུ་ཞི་བའི་སྤྱོད་ལམ་དང་། ཞབས་འབྲིང་བ་མཛེས་པས་མཛེས་སོ་ཞེས་དད་པའི་སེམས་གཅིག་བསྐྱེད་ནས་དེ་འཆི་བའི་དུས་བྱས་སོ། ། ||| ‘Oh, the Blessed One, the perfect Buddha Kāśyapa is so beautiful to behold; he has such serene conduct and his followers are so graceful!’ Then, with this intense feeling of trust, she passed away.
དེ་རྒྱུ་དེ་ཉིད་ཀྱིས་སུམ་ཅུ་རྩ་གསུམ་གྱི་ལྷའི་ནང་དུ་སྐྱེས་པ་ནས་རྒྱུ་དེ་ཉིད་ཀྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ངེས་པར་གྱུར་པའི་བར་དུའོ། ། ||| Now, because of this she was born in the Heaven of the Thirty-Three, and by this very cause she eventually achieved liberation in unsurpassed and completely perfect awakening.
རིགས་ཀྱི་བུ་ངས་མངོན་པར་ཤེས་ཏེ་འདས་པའི་དུས་ན་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམ་པར་གཟིགས་ཀྱི་ཚེ་རྒྱལ་པོའི་ཁབ་འདི་ཉིད་དུ་ཟས་འདོད་ཅེས་བྱ་བའི་བྲམ་ཟེ་ཞིག་བྱུང་ངོ་། ། ||| “Noble son, I clearly see that in the past, at the time of the perfect buddha Vipaśyin, right here in Rājagṛha, there lived a brahmin known as Hungry One.
ཟས་འདོད་དེ་སངས་རྒྱས་དང་། ཆོས་དང་དགེ་འདུན་དཀོན་མཆོག་ལ་རང་བཞིན་གྱིས་མ་དད་ན་བསྙེན་བཀུར་ལྟ་ག་ལ་ཞིག་བྱེད། ||| Hungry One had a natural distrust in the precious Buddha, Dharma, and Saṅgha, so he certainly had no interest in serving them either.
དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམ་པར་གཟིགས་རྒྱལ་པོའི་ཁབ་ཏུ་བསོད་སྙོམས་ཀྱི་ཕྱིར་གཤེགས་པ་དང་། ||| At that time the Blessed One, the perfect buddha Vipaśyin, arrived in Rājagṛha to collect alms.
བྲམ་ཟེ་དེ་ཡང་དོན་ཞིག་གཉེར་ཞིང་རྒྱལ་པོའི་ཁབ་ནས་བྱུང་ངོ་། ། ||| Since the brahmin also had some affairs to attend to in Rājagṛha, he also went there.
དེ་བྱུང་བ་དང་བཅོམ་ལྡན་འདས་རྣམ་པར་གཟིགས་དེ་བཞིན་གཤེགས་པ་དེ་ཁས་བོན་དུ་མཐོང་ངོ་། ། ||| When he arrived, he saw for himself the Thus-Gone One, the Blessed Vipaśyin.
མཐོང་ནས་ཀྱང་དེས་གཟུགས་མཛེས་པ་ལ་དམིགས་ཏེ། ||| As he beheld him, he noticed his beautiful appearance and said,
ཀྱེ་མའོ་བཅོམ་ལྡན་འདས་རྣམ་པར་གཟིགས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མཚན་དང་དཔེ་བྱད་བཟང་པོ་རྣམས་ཀྱིས་སྐུ་ལེགས་པར་བརྒྱན་ཏོ་ཞེས་དད་པའི་སེམས་གཅིག་རྙེད་ནསདེ་འཆི་བའི་དུས་བྱས་སོ། ། ||| ‘Oh, the body of the Blessed Vipaśyin is beautifully adorned with the excellent signs and marks of a thus-gone one, a worthy one, a perfect buddha!’ Having in this way gained a moment of trust, he passed away.
དེ་རྒྱུ་དེས་རབ་མཚེ་མའི་ལྷའི་ནང་དུ་སྐྱེས་པ་ནས་རྒྱུ་དེ་ཉིད་ཀྱིས་རིམ་གྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ངེས་པར་གྱུར་པའི་བར་དུའོ། ། ||| As a result of that trust he was born among the gods in the Yāma Heaven, and through that very cause he gradually progressed toward the liberation of unexcelled and completely perfect awakening.
