འཕགས་པ་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Kiṃnara King Druma
ལྷའི་བུ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་འདི་དག་དང་ལྡན་ན་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་འགྱུར་རོ། ། ||| Divine son, if bodhisattvas possess those four qualities, they will reach acceptance of the unborn nature of phenomena.
ལྷའི་བུ་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་འགྱུར་རོ། ། ||| “Furthermore, divine son, if bodhisattvas possess four other qualities, they will reach acceptance of the unborn nature of phenomena.
བཞི་གང་ཞེ་ན་འདི་ལྟ་སྟེ། ||| What are those four?
བསམ་གཏན་བཞིས་སྟོང་པ་ཉིད་ལ་རྣམ་པར་རྩེ་བ་དང་། ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་གིས་ཐབས་མཁས་པ་ལ་རྣམ་པར་རྩེ་བ་དང་། མངོན་པར་ཤེས་པ་ལྔས་ཡེ་ཤེས་ལ་རྣམ་པར་རྩེ་བ་དང་། ཐོགས་པ་མེད་པའི་ཡེ་ཤེས་ཀྱིས་རྫུ་འཕྲུལ་ལ་རྣམ་པར་རྩེ་བ་སྟེ། ||| They are (1) reveling in emptiness through the four concentrations, (2) reveling in skillful means through the six perfections, (3) reveling in wisdom through the five higher perceptions, and (4) reveling in magical power through unimpeded wisdom.
འོད་ཟེར་སྲུང་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་འདི་དག་དང་ལྡན་ན་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་འགྱུར་རོ། ། ||| Guardian of Light Rays, if bodhisattvas possess those four qualities, they will reach acceptance of the unborn nature of phenomena.
འོད་ཟེར་སྲུང་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་འགྱུར་རོ། ། ||| “Furthermore, Guardian of Light Rays, if bodhisattvas possess four other qualities, they will reach acceptance of the unborn nature of phenomena.
བཞི་གང་ཞེ་ན་འདི་ལྟ་སྟེ། ||| What are those four?
ཕུང་པོ་རྣམས་ལ་བྱང་ཆུབ་ཚོལ་ཡང་ཕུང་པོ་རྣམས་ལ་བྱང་ཆུབ་ཀྱི་རང་བཞིན་དུ་མོས་པ་མ་ཡིན་པ་དང་། ཁམས་རྣམས་ལ་བྱང་ཆུབ་ཚོལ་ཡང་ཁམས་རྣམས་ལ་བྱང་ཆུབ་ཀྱི་རང་བཞིན་དུ་མོས་པ་མ་ཡིན་པ་དང་སྐྱེ་མཆེད་རྣམས་ལ་བྱང་ཆུབ་ཚོལ་ཡང་། སྐྱེ་མཆེད་རྣམས་ལ་བྱང་ཆུབ་ཀྱི་རང་བཞིན་དུ་མི་རྟོག་པ་དང་། ཆོས་ཐམས་ཅད་ལ་བྱང་ཆུབ་ཚོལ་ཡང་ཆོས་ཐམས་ཅད་ལ་བྱང་ཆུབ་ཀྱི་རང་བཞིན་དུ་མོས་པ་མ་ཡིན་པ་སྟེ། ||| They are (1) not believing that the aggregates have the nature of awakening, even while seeking awakening in the aggregates, (2) pursuing awakening on the basis of the elements without believing that the elements have the nature of awakening, (3) pursuing awakening on the basis of the sense sources without thinking that the sense sources have the nature of awakening, and (4) pursuing awakening on the basis of all phenomena without believing that phenomena have the nature of awakening.
འོད་ཟེར་སྲུང་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་འདི་དག་དང་ལྡན་ན་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་འགྱུར་རོ། ། ||| Guardian of Light Rays, if bodhisattvas possess those four qualities, they will reach acceptance of the unborn nature of phenomena.
འོད་ཟེར་སྲུང་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་འགྱུར་རོ། ། ||| “Furthermore, Guardian of Light Rays, if bodhisattvas possess four other qualities, they will reach acceptance of the unborn nature of phenomena.
བཞི་གང་ཞེ་ན་འདི་ལྟ་སྟེ། ||| What are those four?
མི་གཡོ་བའི་ཚུལ་གྱིས་ཆོས་ཐམས་ཅད་ཡང་དག་པའི་མཐའ་ལ་གནས་པར་ཤེས་པ་དང་། དུས་གསུམ་མཉམ་པ་ཉིད་པས་ཆོས་ཐམས་ཅད་དེ་བཞིན་ཉིད་ལ་གནས་པར་འཇུག་པ་དང་། ཆོས་ཐམས་ཅད་མཚན་ཉིད་འདྲེས་པ་མེད་པས་ཆོས་ཀྱི་དབྱིངས་སུ་འདུ་བར་ཤེས་པ་དང་། ཆོས་ཐམས་ཅད་མཉམ་པ་ཉིད་ཀྱི་རྗེས་སུ་སོང་བས་ནམ་མཁའི་རང་བཞིན་དུ་སོ་སོར་རྟོག་པ་སྟེ། ||| They are (1) knowing that all phenomena dwell within the limit of reality due to the immutable nature, (2) understanding that all phenomena abide in suchness due to the sameness of the three times, (3) knowing that all phenomena are subsumed within the realm of phenomena due to their unadulterated characteristics, and (4) comprehending that all phenomena have the nature of space due to their nature of sameness.
འོད་ཟེར་སྲུང་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་འདི་དག་དང་ལྡན་ན་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་འགྱུར་རོ། ། ||| Guardian of Light Rays, if bodhisattvas possess those four qualities, they will reach acceptance of the unborn nature of phenomena.”
མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པ་བསྟན་པ་འདི་བཤད་པ་ན་བྱང་ཆུབ་སེམས་དཔའ་ལྔ་སྟོང་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་གྱུར་ཏོ། ། ||| When this teaching on acceptance of the unborn nature of phenomena was given, five thousand bodhisattvas reached acceptance of the unborn nature of phenomena, and
ལྷའི་བུ་འོད་ཟེར་སྲུང་ནི་རྗེས་སུ་འཐུན་པར་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་གྱུར་ཏོ། ། ||| the divine son Guardian of Light Rays reached acceptance of phenomena concordant with the truth.
ཆོས་ཀྱི་རྣམ་གྲངས་འདིའི་ཐ་མར་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ||| At the conclusion of this Dharma teaching, the Blessed One said to venerable Ānanda,
ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཞུས་པ་ཕ་རོལ་ཏུ་ཕྱིན་པས་འདུལ་བ་བསྟན་པའི་སྒོའི་ལེའུའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཟུང་ངམ། ||| “Ānanda, did you receive this Dharma teaching on the questions of the kiṃnara king Druma—the discourse about the gateway that shows how to train by means of the perfections?”
ཀུན་དགའ་བོས་གསོལ་པ། ||| replied Ānanda,
བཅོམ་ལྡན་འདས་འདི་ལྟ་སྟེ། སངས་རྒྱས་ཀྱི་མཐུ་ཉིད་ཀྱིས་བདག་གིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཟུང་ལགས་སོ། ། ||| “Blessed One,” “I have received this Dharma teaching due to the power of the Buddha.
བཅོམ་ལྡན་འདས་ཀྱེ་མའོ་ཇི་ཙམ་དུ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཟབ་མོ་རྣམ་པར་ངེས་པ་དང་དོན་བཟང་པོ་དང་ཚིག་འབྲུ་བཟང་པོས་བརྒྱན་པ་ནི་མཛེས་ཏེ་ངོ་མཚར་ཏོ། ། ||| Oh! Blessed One, this Dharma teaching that establishes the profound nature, has an excellent meaning, and is adorned by excellent words, is magnificent and amazing!
བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལ་བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་ཀྱི་སྒོམ་བསྡུས་པ་དེ་གང་ཡང་མ་མཆིས་སོ། ། ||| Blessed One, there are no Dharma gateways that have not been included by the Blessed One in this Dharma teaching.
བཅོམ་ལྡན་འདས་སྔོན་བདག་ལ་ཆོས་སྣང་བར་གྱུར་པ་གང་ལགས་པ་དེ་ཡང་ང་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལ་བརྟེན་ནས་འབུམ་འགྱུར་དུ་སྐྱེས་སོ། ། ||| Blessed One, whatever understanding I had of the Dharma previously has now increased a hundred thousand times based on this Dharma teaching.
བཅོམ་ལྡན་འདས་བདག་ནི་འདི་སྙམ་དུ་བདག་ལྟ་བུ་ཉི་ཚེ་བའི་འཆལ་བ་དང་ལྡན་པ་བློ་ཆུང་ངུ་ཉན་ཐོས་ཀྱི་ཐེག་པའི་སྐྱོན་མ་མཆིས་པ། ཐ་ཆད་ལ་ཞུགས་པར་གནས་པས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ནས་ཀྱང་འདི་ལྟ་བུའི་ཆོས་ཀྱི་སྣང་བ་འདི་སྐྱེས་པར་གྱུར་ན ||| Blessed One, I think that if hearing this Dharma teaching can cause such an understanding of the Dharma to arise in someone like me—who has limited understanding, who has the lesser capacity aimed at the faultless state of the vehicle of the hearers, and who is misguided—
