ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| I prostrate to the All-Knowing One.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འོད་སྲུང་དེ་ནི་དེ་ཡིན་ནོ། ། ||| “ Kāśyapa , so it is,” the Blessed One replied.
དེ་ནི་དེ་ཡིན་ཏེ། ||| “It is just as you say, Kāśyapa .
འོད་སྲུང་ཁྱོད་ཀྱི་སྟོན་པ་ནི་ང་ཡིན་ནོ། ། ||| I am your teacher, Kāśyapa .
ཁྱོད་ནི་ངའི་ཉན་ཐོས་ཡིན་ནོ། ། ||| You are my disciple.
འོད་སྲུང་ཁྱོད་རང་གི་སྟན་ཇི་ལྟ་བ་བཞིན་དུ་འདུག་ཅིག ། ||| Kāśyapa , take your place on your designated seat, just as it should be.”
དེ་ནས་ཚེ་དང་ལྡན་པ་ལྟེང་རྒྱས་འོད་སྲུང་རལ་པ་ཅན་རང་གི་སྟན་ཇི་ལྟ་བ་བཞིན་དུ་འདུག་གོ། ། ||| The dreadlocked ascetic Venerable Uruvilvā Kāśyapa took his place on his designated seat, just as it should be,
དེ་ནས་ཡུལ་མ་ག་དྷཱའི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་རྣམས་འདི་སྙམ་དུ་སེམས་ཏེ། ||| whereupon the brahmins and householders of Magadha thought,
ལྟེང་རྒྱས་འོད་སྲུང་རལ་པ་ཅན་དེ་དགེ་སྦྱོང་ཆེན་པོ་གཽ་ཏ་མའི་ཐད་ན་ཚངས་པར་སྤྱད་པ་སྤྱོད་པ་ཡིན་གྱིས། ||| “The dreadlocked ascetic Venerable Uruvilvā Kāśyapa practices the ascetic Gautama’s code of conduct.
དགེ་སྦྱོང་ཆེན་པོ་ལྟེང་རྒྱས་འོད་སྲུང་གི་ཐད་ན་ཚངས་པར་སྤྱད་པ་སྤྱོད་པ་ནི་མ་ཡིན་ནོ་སྙམ་མོ། ། ||| It is certain, then, that the Great Ascetic does not practice Uruvilvā Kāśyapa ’s code of conduct.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡུལ་མ་ག་དྷཱའི་རྒྱལ་པོ་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ་ལ་བཀའ་སྩལ་པ། ||| Thereupon the Blessed One addressed King Bimbisāra of Magadha:
རྒྱལ་པོ་ཆེན་པོ་གཟུགས་ནི་སྐྱེ་ཡང་སྐྱེ་ལ་འགྲིབ་ཀྱང་འགྲིབ་སྟེ། དེའི་སྐྱེ་བ་ཡང་རིག་པར་བྱ་དགོས་ལ། འགྲིབ་པ་ཡང་རིག་པར་བྱ་དགོས་སོ། ། ||| “Great King, forms arise and decay, one after another. You should know the arising of forms, and you should know their decay.
རྒྱལ་པོ་ཆེན་པོ་ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང་། རྣམ་པར་ཤེས་པ་ཡང་སྐྱེ་ཡང་སྐྱེ་ལ། འགྲིབ་ཀྱང་འགྲིབ་སྟེ། ||| Great King, sensations, perceptions, formations, and consciousness likewise arise and decay, one after another.
དེའི་སྐྱེ་བ་ཡང་རིག་པར་བྱ་དགོས་ལ། འགྲིབ་པ་ཡང་རིག་པར་བྱ་དགོས་སོ། ། ||| You should know their arising, and you should know their decay.
རྒྱལ་པོ་ཆེན་པོ་གཟུགས་སྐྱེ་བ་དང་། འགྲིབ་པའི་ཆོས་ཅན་ཡིན་པར་རིག་ནས། ||| Great King, knowing the nature of forms’ arising and decay,
གཟུགས་དེ་ཡོངས་སུ་ཤེས་སོ། ། ||| you will understand form.
རྒྱལ་པོ་ཆེན་པོ་ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང་། རྣམ་པར་ཤེས་པ་ཡང་སྐྱེ་བ་དང་། འགྲིབ་པའི་ཆོས་ཅན་ཡིན་པར་རིག་ནས། ||| Great King, knowing also the nature of the arising and decay of sensations, perceptions, formations, and consciousness,
རྣམ་པར་ཤེས་པ་དེ་ཡོངས་སུ་ཤེས་སོ། ། ||| you will understand consciousness.
རྒྱལ་པོ་ཆེན་པོ་གཟུགས་ཡོངས་སུ་ཤེས་ན། གཟུགས་དེ་ལ་བདག་གི་བདག་ཡིན་ནོ་སྙམ་དུ་འཛིན་པར་མི་བྱེད། ||| “Great King, when you understand form, you do not grasp at it, thinking, ‘This is my self!’
ལེན་པར་མི་བྱེད། གནས་པར་མི་བྱེད། མངོན་པར་ཞེན་པར་མི་བྱེད་དོ། ། ||| Nor do you appropriate it, dwell upon it, or continue your habitual adherence to it.
རྒྱལ་པོ་ཆེན་པོ་ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང་། རྣམ་པར་ཤེས་པ་ཡོངས་སུ་ཤེས་ན། རྣམ་པར་ཤེས་པ་དེ་ལ་བདག་གི་བདག་ཡིན་ནོ་སྙམ་དུ་འཛིན་པར་མི་བྱེད། ||| Great King, when you understand sensations, perceptions, formations, and consciousness, you do not grasp at consciousness, thinking, ‘This is my self!’
ལེན་པར་མི་བྱེད། གནས་པར་མི་བྱེད། མངོན་པར་ཞེན་པར་མི་བྱེད་དོ། ། ||| Nor do you appropriate it, dwell upon it, or continue your habitual adherence to it.
རྒྱལ་པོ་ཆེན་པོ་གཟུགས་ལ་མི་འཛིན། མི་ལེན་མི་གནས། མངོན་པར་ཞེན་པར་མི་བྱེད་ན། ||| “Great King, not grasping at form nor appropriating it, dwelling upon it, or habitually adhering to it—
དཔག་ཏུ་མེད་པ། གྲངས་མེད་པ། མྱ་ངན་ལས་འདས་པ་ཞེས་ང་ཟེར་རོ། ། ||| this I call ‘the infinite, the boundless, nirvāṇa.’
རྒྱལ་པོ་ཆེན་པོ་ཚོར་བ་དང་། འདུ་ཤེས་དང་འདུ་བྱེད་རྣམས་དང་། རྣམ་པར་ཤེས་པ་ལ་མི་འཛིན། མི་ལེན་མི་གནས། མངོན་པར་ཞེན་པར་མི་བྱེད་ན། ||| Great King, not grasping at sensations, perceptions, formations, and consciousness, nor appropriating them, dwelling upon them, or habitually adhering to them—
དཔག་ཏུ་མེད་པ། གྲངས་མེད་པ། མྱ་ངན་ལས་འདས་པ་ཞེས་ང་ཟེར་རོ། ། ||| this I call ‘the infinite, the unbounded, nirvāṇa.’ ”
དེ་ནས་ཡུལ་མ་ག་དྷཱའི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་རྣམས་འདི་སྙམ་དུ་སེམས་ཏེ། ||| The brahmins and householders of Magadha then reflected,
ཇི་སྟེ་གཟུགས་བདག་མ་ཡིན་ཞིང་། ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང་། རྣམ་པར་ཤེས་པ་བདག་མ་ཡིན་ན། བདག་གམ་སེམས་ཅན་ནམ། སྲོག་གམ། སྐྱེ་བའམ། གསོ་བའམ། གང་ཟག་གམ། ཤེད་བུའམ། ཤེད་ཅན་ནམ། བྱེད་པའམ། བྱེད་པ་པོའམ། སྨྲ་བ་པོའམ། ཚོར་བ་པོའམ། སྐྱེད་པ་པོའམ། ཀུན་ཏུ་སྐྱེད་པ་པོར་སུ་ཞིག་འགྱུར། ||| “If forms are not the self, and, likewise, sensations, perceptions, formations, and consciousness are not the self, what then is the self, the being, the life force, the creature, the soul, the person, the human being, humankind, the actor, the agent, the speaker, the feeler, the creator, or the fundamental creator?
མ་སྐྱེས་ཤིང་། མ་བྱུང་ལ་འབྱུང་བར་མི་འགྱུར་ན་ཡང་ཕུང་པོ་འདི་དག་ནི་འདོར་ལ། ཕུང་པོ་གཞན་ནི་ལེན་པར་མི་འགྱུར་རོ་སྙམ་མོ། ། ||| If nothing has been born or arisen, and nothing will arise, then once these aggregates are discarded no other aggregates will be appropriated.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡུལ་མ་ག་དྷཱའི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་རྣམས་ཀྱི་སེམས་ཐུགས་ཀྱིས་མཁྱེན་ནས་ ||| The Blessed One directly apprehended what the brahmins and householders of Magadha were thinking, then addressed the monks:
དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། དགེ་སློང་དག་བདག་བདག་ཅེས་བྱ་བ་ནི། སོ་སོའི་སྐྱེ་བོ་ཐོས་པ་དང་མི་ལྡན་པ་རྣམས་ཀྱིས་སོ་སོར་བཟུང་བར་ཟད་ཀྱི། ||| “Monks, the so-called ‘self’ is only something apprehended by ordinary beings who do not know any better.
འདི་ན་བདག་ཀྱང་མེད། བདག་གི་ཡང་མེད་དོ། ། ||| But there is in fact no such self or anything possessed there.
དགེ་སློང་དག་སྐྱེ་བ་ན། སྡུག་བསྔལ་འདི་ཉིད་སྐྱེ་ལ། འགག་པ་ན་སྡུག་བསྔལ་འདི་ཉིད་འགག་གོ། ། ||| “Monks, this suffering is born at birth, and this suffering ceases at cessation.
སྐྱེ་བ་ན་འདུ་བྱེད་རྣམས་ཉིད་སྐྱེ་ལ། འགག་པ་ན་འདུ་བྱེད་རྣམས་ཉིད་འགག་གོ། ། ||| These formations are born at birth, and these formations cease at cessation.
རྒྱུ་དེ་དག་དང་རྐྱེན་དེ་དག་ལ་བརྟེན་ནས། སེམས་ཅན་རྣམས་ཀྱི་འདུ་བྱེད་ཀྱི་རྒྱུད་འཇུག་པར་འགྱུར་རོ། ། ||| Consigned to such causes and conditions, beings will be subject to a perpetual stream of formations.
དགེ་སློང་དག་དེ་བཞིན་གཤེགས་པས་ནི་སེམས་ཅན་རྣམས་ཀྱི་འདུ་བྱེད་ཀྱི་རྒྱུད་ཀྱི་ཉིང་མཚམས་སྦྱོར་བ་ཐུགས་སུ་ཆུད་ནས། འཆི་འཕོ་དང་། སྐྱེ་བ་འདོགས་པར་མཛད་དོ། ། ||| “Monks, the Tathāgata directly apprehends the reincarnation of beings in a perpetual stream of formation, and labels it death, transmigration, and rebirth.
ལྷའི་སྤྱན་རྣམ་པར་དག་པ་མིའི་ལས་འདས་པས་སེམས་ཅན་རྣམས་འཆི་འཕོ་ཞིང་འདུག་པ་དང་། སྐྱེ་ཞིང་འདུག་པ་དང་། ||| With perfectly clear divine vision, beyond that of normal humans, the Blessed One sees how beings continue to die and transmigrate, and continue to take birth;
