འཕགས་པ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འཛིན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Upholding the Roots of Virtue
གང་གི་ཡང་འདུས་བྱས་མེད་དོ། ། ||| there is nothing conditioned belonging to anything whatsoever,
གང་གིས་ཀྱང་འདུས་བྱས་མེད་དོ། ། ||| there is nothing conditioned by anything whatsoever, and
གང་ལ་ཡང་འདུས་བྱས་མེད་དོ། ། ||| there is nothing conditioned in anything whatsoever.
ཀུན་དགའ་བོ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པས་ཆོས་འདུས་མ་བྱས་སོ་ཞེས་བསྟན་ཀྱང་གང་ཡང་འདུས་མ་བྱས་མེད་དོ། ། ||| “Ānanda, although the Thus-Gone One teaches that ‘phenomena are unconditioned,’ there is nothing unconditioned whatsoever—
གང་གི་ཡང་འདུས་མ་བྱས་མེད་དོ། ། ||| there is nothing unconditioned belonging to anything whatsoever,
གང་གིས་ཀྱང་འདུས་མ་བྱས་མེད་དོ། ། ||| there is nothing unconditioned by anything whatsoever, and
གང་ལ་ཡང་འདུས་མ་བྱས་མེད་དོ། ། ||| there is nothing unconditioned in anything whatsoever.
ཀུན་དགའ་བོ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པས་ཆོས་རྣམས་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་ནོ་ཞེས་བསྟན་ཀྱང་གང་ཡང་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་མེད་དོ། ། ||| “Ānanda, although the Thus-Gone One teaches that ‘phenomena are afflicted,’ there is nothing afflicted whatsoever—
གང་གི་ཡང་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་མེད་དོ། ། ||| there is nothing afflicted belonging to anything whatsoever,
གང་གིས་ཀྱང་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་མེད་དོ། ། ||| there is nothing afflicted by anything whatsoever, and
གང་ལ་ཡང་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་མེད་དོ། ། ||| there is nothing afflicted in anything whatsoever.
ཀུན་དགའ་བོ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པས་ཆོས་རྣམས་རྣམ་པར་བྱང་བའོ་ཞེས་བསྟན་ཀྱང་གང་ཡང་རྣམ་པར་བྱང་བ་མེད་དོ། ། ||| “Ānanda, although the Thus-Gone One teaches that ‘phenomena are completely purified,’ there is nothing completely purified whatsoever—
གང་གི་ཡང་རྣམ་པར་བྱང་བ་མེད་དོ། ། ||| there is nothing completely purified belonging to anything whatsoever,
གང་གིས་ཀྱང་རྣམ་པར་བྱང་བ་མེད་དོ། ། ||| there is nothing completely purified by anything whatsoever, and
གང་ལ་ཡང་རྣམ་པར་བྱང་བ་མེད་དོ། ། ||| there is nothing completely purified in anything whatsoever.
ཀུན་དགའ་བོ་ཆོས་ཀྱི་ཕྱག་རྒྱ་དེ་ནི་ཆོས་ཐམས་ཅད་ཀྱི་ཕྱག་རྒྱ་སྟེ། ཕྱག་རྒྱ་མེད་པ་ཡིན་ནོ། ། ||| “Ānanda, the seal of Dharma, the seal of all phenomena, is the absence of a seal.
མ་བྱས་པའི་ཕྱག་རྒྱ་ཡིན་ནོ། ། ||| It is the unformed seal.
དབྱེར་མེད་པའི་ཕྱག་རྒྱ་ཡིན་ནོ། ། ||| It is the indivisible seal.
ཀུན་དགའ་བོ་གང་དག་ཕྱག་རྒྱ་དེས་བཏབ་པ་དེ་དང་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡིན། ||| Ānanda, anyone stamped with that seal is a bodhisattva great being.
རིགས་བཙུན་པ་ཡིན། ||| They are of venerable family.
མིའི་སེང་གེ་ཡིན། ||| They are lions among humans.
སྤྱོད་པ་གཅིག་པ་ཡིན། ||| They are solitary.
བག་ཚ་བ་མེད་པ་ཡིན། ||| They are fearless.
སྒྲ་སྒྲོགས་པ་ཡིན། ||| They proclaim the roar.
གཞན་མུ་སྟེགས་ཅན་དག་སྐྲག་པར་བྱེད་པ་ཡིན། ||| They frighten other non-Buddhists.
བདུད་ཀྱི་སྡེ་འདུལ་བར་བྱེད་པ་ཡིན། ||| They subjugate the hordes of Māra.
གཞན་མུ་སྟེགས་ཅན་དག་རི་སུལ་གྱི་ཕུག་ཏུ་འཇུག་པར་བྱེད་པ་ཡིན། ||| They cause other non-Buddhists to flee into caves in mountain fissures.
དམིགས་པ་ཅན་དག་སྐྲག་པར་བྱེད་པ་ཡིན། ||| They frighten those with reference points.
ལྷག་པའི་ང་རྒྱལ་ཅན་དག་འབིགས་པར་བྱེད་པ་ཡིན། རྡེག་པར་བྱེད་པ་ཡིན། ||| They puncture and strike down those who are especially proud.
སངས་རྒྱས་ཀྱི་སྲས་བདུད་སུན་འབྱིན་པ་དག་མངོན་པར་དགའ་བར་བྱེད་པ་ཡིན། ||| They delight the offspring of buddhas that counteract Māra.
ཆོས་ཉིད་ཀྱང་རྣམ་པར་འབྱེད་པ་ཡིན། ||| They discern reality.
ཕྱོགས་བཅུར་ཆོས་ཀྱི་རྒྱལ་མཚན་ཡང་སྒྲེང་བར་བྱེད་པ་ཡིན། ||| They cause the victory banner of Dharma to be raised throughout the ten directions.
དེ་དག་ནི་ཆོས་ཀྱི་རྔ་རྡུང་བར་བྱེད་པ་ཡིན། ||| They cause the drum of Dharma to be beaten.
ཆོས་ཀྱི་བཅུད་འཐུང་བར་བྱེད་པ་ཡིན། ||| They cause the elixir of Dharma to be drunk.
ལེགས་པར་བཤད་པས་རྒྱལ་བའི་ཐུགས་ཀྱི་སྲས་དག་ཚིམ་པར་བྱེད་པ་ཡིན་ནོ།། །། ||| They satiate the heart-children of the victorious ones with well-spoken discourses.
ཀུན་དགའ་བོ་འདི་ལྟ་སྟེ། དཔེར་ན་རི་དགས་ཀྱི་རྒྱལ་པོ་སེང་གེ་ནི་རང་གི་གནས་ནས་མངོན་པར་འབྱུང་ཞིང་ལན་གསུམ་དུ་སེང་གེའི་སྒྲ་སྒྲོགས་པ་ན། ||| “Ānanda, it is like this, as a simile: When a lion, the king of beasts, emerges from his lair and proclaims a lion’s roar three times,
དེ་ན་སེང་གེའི་ཕྲུག་གུ་རིགས་བཙུན་པ་གང་དག་ཡོད་པ་དེ་དག་སྒྲ་དེ་ཐོས་ནས་རང་གིས་ལུས་མངོན་པར་སྟོན་པ་ཡིན། ||| all the lion cubs of venerable pedigree who hear the sound show themselves.
བག་ཚ་བ་མེད་པ་ཡིན། སྐྲག་པ་མེད་པ་ཡིན། དགའ་བ་ཡིན། ཚིམ་པ་ཡིན། ཕྱོགས་བཞིར་རྣམ་པར་ལྟ་བར་བྱེད་པ་ཡིན་ནོ། ། ||| Confident, fearless, joyous, and satiated, they look around throughout the four directions.
ཀུན་དགའ་བོ་དེ་བཞིན་དུ་སེང་གེའི་འདུས་པ། བག་ཚ་བ་མེད་པའི་འདུས་པ། རལ་པ་ཆེན་པོ་ཅན་འདུས་པ་དེ་ན། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལྷག་པའི་བསམ་པ་ལ་ཡང་དག་པར་ཞུགས་པ། དགེ་བའི་རྩ་བ་ཡོངས་སུ་མ་སྨིན་པ་དབང་པོ་ཡོངས་སུ་མ་སྨིན་པ་གང་དག་ཡོད་པ་དེ་དག་ནི་སྒྲ་དེ་ཐོས་ནས་ཀུན་དགའ་བོ་འདུས་པ་ཆེན་པོའི་འདུས་པ་དེ་ན་དགའ་བ་སྐྱེད་པར་བྱེད་པ་ཡིན། མགུ་བ་སྐྱེད་པར་བྱེད་པ་ཡིན་ནོ། ། ||| Likewise, Ānanda, bodhisattva great beings who have embraced the altruistic intention, yet whose roots of virtue and faculties have not yet matured, and who are present in the assembly of lions—the assembly of those without trepidation, the assembly of those with great manes—are delighted and gleeful in the gathering of the great assembly upon hearing that sound.
ཀུན་དགའ་བོ་འདི་ལྟ་སྟེ། དཔེར་ན་རི་དགས་ཀྱི་རྒྱལ་པོ་སེང་གེ་ནི་གང་དང་གང་དུ་འགྲོ་ཡང་ཐམས་ཅད་དུ་གཅིག་པུ་ཁོ་ནར་འགྲོ་བ་ཡིན། གྲོགས་མེད་པ་ཁོ་ནར་འགྲོ་བ་ཡིན་ནོ། ། ||| “Ānanda, it is also like this, as a simile: The lion, the king of beasts, only ever travels alone, without any companion, no matter where he goes.
ཀུན་དགའ་བོ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའི་འདུས་པ། བག་ཚ་བ་མེད་པ་རལ་པ་ཅན་གྱི་འདུས་པའི་འདུས་པ་དེ་ན། བྱང་ཆུབ་སེམས་དཔའི་སེང་གེ་གང་དག་ཡོད་པ་དེ་དག་ནི་གང་དང་གང་དུ་གོ་ཆ་གྱོན་པར་བྱེད་ཀྱང་ཐམས་ཅད་དུ་གྲོགས་མེད་པ་ཁོ་ནར་གོ་ཆ་གྱོན་པར་བྱེད་པ་ཡིན། ||| Likewise, Ānanda, the bodhisattva lions present in the assembly of the gathering of those audacious beings with manes /[F.211.a] always wear their armor without a companion, no matter where they go.
བདག་ཉིད་ཀྱིས་སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་བྱ་ཞིང་། གྲོགས་མེད་པར་སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་མངོན་དུ་བྱའོ་སྙམ་ནས། ཟླ་མེད་པ་ཁོ་ནར་གོ་ཆ་གྱོན་པར་བྱེད་པ་ཡིན་ནོ། ། ||| They wear their armor in the absence of peers, thinking, ‘I will realize the qualities of the buddhas by myself. I will actualize the qualities of the buddhas without a companion.’
ཀུན་དགའ་བོ་འདི་ལྟ་སྟེ། དཔེར་ན་རི་དགས་ཀྱི་རྒྱལ་པོ་དེ་ཉིད་གང་གི་མངལ་ན་གནས་པ་ཡིན་པ་དེ་ནི་མངལ་ཅིག་ཤོས་འཛིན་པར་མི་བྱེད་ཅིང་། རི་དགས་ཀྱི་རྒྱལ་པོ་སེང་གེ་ལན་ཅིག་ཁོ་ན་དེའི་མངལ་ན་གནས་པ་ཡིན་ནོ། ། ||| “Ānanda, it is also like this, as a simile: The king of beasts dwells only in the womb of precisely its own kind. Moreover, the lion, the king of beasts, dwells only once in that womb.
