༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་པཉྩ་པཱ་ར་མི་ཏཱ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Teaching the Five Perfections The Perfection of Generosity
།ཤ་ར་དྭ་ཏིའི་བུ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བསམ་གཏན་བཞི་པ་ལ་གནས་པས་ཟག་པ་ཟད་པ་མངོན་སུམ་དུ་བྱ་བའི་ཕྱིར་ནི་མཉམ་པར་གཞག་པར་མི་བྱའི། འདི་ནི་བདག་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པར་བྱང་ཆུབ་པའི་རྟེན་ཡིན་ནོ། ||| Śāradvatīputra, using the fourth concentration as a basis, bodhisattva great beings should not rest within it in order to actualize the exhaustion of defilements, but rather regard it as their foundation for attaining unsurpassed and perfect awakening.
།དེ་བསམ་གཏན་བཞི་པ་ལ་མཉམ་པར་འཇོག་པ་ན། བསམ་གཏན་རྣམས་དང་། བསམ་གཏན་གྱི་བདེ་བ་དང་། བསམ་གཏན་གྱི་རྒྱུ་འཐུན་པའི་རོ་མྱོང་བར་མི་བྱེད་དེ། ||| When bodhisattvas rest in the fourth concentration, they should never savor the experience of concentration, the bliss of concentration, or the related results of concentration.
འོན་ཀྱང་གནས་པ་དེས་གནས་པར་བྱེད་དོ། ||| Nevertheless, they should still use the concentration as a basis.
།དེ་བསམ་གཏན་བཞི་པ་ལ་གནས་ནས། ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ཀྱི་སྙོམས་པར་འཇུག་པ་ལ་མཉམ་པར་གཞོག་ཅིང་མངོན་པར་སྒྲུབ་བོ། ། ||| With the fourth concentration as a basis, they should rest evenly in the attainment of the field of limitless space and accomplish that state.
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ཀྱི་སྙོམས་པར་འཇུག་པ་ལ་མཉམ་པར་གཞོག་ཅིང་མངོན་པར་སྒྲུབ་བོ། །ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་ཀྱི་སྙོམས་པར་འཇུག་པ་ལ་མཉམ་པར་གཞོག་ཅིང་མངོན་པར་སྒྲུབ་བོ། །འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་ཀྱི་སྙོམས་པར་འཇུག་པ་ལ་མཉམ་པར་གཞོག་ཅིང་མངོན་པར་སྒྲུབ་བོ། ། ||| Gradually, they should then rest in and accomplish the attainments of the field of limitless consciousness, the field of nothing whatsoever, and the field of neither perception nor non-perception.
དེ་གཟུགས་མེད་པའི་སྙོམས་པར་འཇུག་པ་བཞི་པོ་འདི་དག་གིས་གནས་ལ། དེ་དག་གི་རོ་ཡང་མྱོང་བར་མི་བྱེད་དོ། ||| However, even though they use these attainments of the formless realm as a basis, they should not savor these experiences.”
།དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་དོན་གྱི་དབང་གང་ཡང་དག་པར་མཐོང་བས་འགོག་པའི་སྙོམས་པར་འཇུག་པ་ལ་མཉམ་པར་གཞོག་པར་མི་བགྱིད། ||| Venerable Śāradvatīputra then said to the Blessed One, “Blessed One, when bodhisattva great beings perceive the significance of this, they will not rest evenly in the attainment of the state of cessation.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཉན་ཐོས་ཀྱི་སའམ། རང་སངས་རྒྱས་ཀྱི་སར་ལྷུང་དུ་དོགས་པའི་ཕྱིར་འདུ་ཤེས་དང་ཚོར་བ་འགོག་པའི་སྙོམས་པར་འཇུག་པའི་བདེ་བ་ལ་མཉམ་པར་མི་གཞོག་སྟེ། འདུ་ཤེས་དང་། ཚོར་བ་འགོག་པའི་སྙོམས་པར་འཇུག་པ་ལ་མཉམ་པར་གཞག་ན་ནི། དགྲ་བཅོམ་པའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱེད་པར་འགྱུར་བར་ཤེས་པར་བྱ་སྟེ། ||| The Blessed One said, “Śāradvatīputra, because bodhisattva great beings are afraid to fall into the levels of the hearers and the solitary buddhas, they should not rest in the blissful attainment of the cessation of perceptions and feelings. They should recognize that if they come to rest in the blissful attainment of the cessation of perceptions and feelings, they will actualize the result of a worthy one.
ཤ་ར་དྭ་ཏིའི་བུ་དོན་གྱི་དབང་འདི་ཡང་དག་པར་མཐོང་ནས། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འདུ་ཤེས་དང་ཚོར་བ་འགོག་པའི་སྙོམས་པར་འཇུག་པ་ལ་མཉམ་པར་མི་གཞོག་གོ། ། ||| Śāradvatīputra, if bodhisattva great beings see these implications, they will avoid resting in the attainment of the cessation of perceptions and feelings.”
གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་འདི་ལྟར་སྙོམས་པར་འཇུག་པ་འདི་དག་ཉིད་ཀྱིས་གནས་ལ། སྙོམས་པར་འཇུག་པའི་རོ་ཡང་མྱོང་བར་མི་བགྱིད་ཅིང་། སྙོམས་པར་འཇུག་པ་འདི་དག་ལ་འདོད་ཆགས་དང་ཡང་མ་བྲལ་བ་ནི་ངོ་མཚར་བགྱིད་པ་ལགས་སོ། ||| Śāradvatīputra said, “Blessed One, it is amazing how bodhisattva great beings use these states of attainment as a foundation, yet do not savor the experience of attainment, nor have any attachment to these states.”
།བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་དེ་དེ་བཞིན་ནོ། ||| The Blessed One said, “Śāradvatīputra, that is correct.
།དེ་དེ་བཞིན་ཏེ། ||| That is how it is.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་འདི་ལྟར་སྙོམས་པར་འཇུག་པ་འདི་དག་ཉིད་ཀྱིས་གནས་ལ། སྙོམས་པར་འཇུག་པ་འདི་དག་གི་རོ་ཡང་མྱོང་བར་མི་བྱེད་ཅིང་། སྙོམས་པར་འཇུག་པ་འདི་དག་ལ་འདོད་ཆགས་དང་ཡང་མ་བྲལ་བ་ནི་ངོ་མཚར་བྱེད་པ་ཡིན་ཏེ། ||| It is amazing how bodhisattvas use these states of attainment as a foundation without savoring the experience of attainment and without developing any attachment to these states.
ཤིན་ཏུ་ངོ་མཚར་ཏོ། ||| It is truly amazing.
།ཤ་ར་དྭ་ཏིའི་བུ་དེ་བས་ན་དོན་འདི་ཡང་རྒྱས་པར་བྱ་བ་དང་། རྫོགས་པར་བྱ་བའི་ཕྱིར་ཁྱོད་ལ་དཔེ་བསྟན་པར་བྱའོ། ||| Śāradvatīputra, therefore, I shall give you an analogy in order to elaborate on and clarify this point.
།ཤ་ར་དྭ་ཏིའི་བུ་དཔེར་ན། འཛམ་བུའི་གླིང་གི་མི་འདོད་ཆགས་དང་མ་བྲལ། འདུན་པ་དང་མ་བྲལ་བ། བྱང་གི་སྒྲ་མི་སྙན་གྱི་གླིང་དུ་སོང་སྟེ། ||| Śāradvatīputra, for this analogy, imagine if a person from this Jambu continent, who is not free of desire and craving, were to travel to the Unpleasant Sound continent to the north.
དེ་བྱང་གི་སྒྲ་མི་སྙན་གྱི་གླིང་དུ་སོང་ནས། བྱང་གི་སྒྲ་མི་སྙན་གྱི་མི་རྣམས་ཀྱི་བདག་གི་བ་མེད་ཅིང་ཡོངས་སུ་མ་བཟུང་བའི་བུད་མེད་རྣམས་དང་། དཔག་བསམ་གྱི་ཤིང་ལས་བྱུང་བའི་གོས་རྣམས་དང་། མ་རྨོས་མ་བཏབ་པའི་འབྲས་རྣམས་དང་། རྒྱན་དང་ལྡན་པའི་ཤིང་དེ་དག་དང་། ཉེ་བར་སྤྱད་པ་དང་། ལོངས་སྤྱད་པ་དེ་དག་དང་། ཡོངས་སུ་མ་བཟུང་བའི་གསེར་དང་། རིན་པོ་ཆེ་དེ་དག་མཐོང་སྟེ། ||| Upon arrival there, he would witness all the available riches of the northern continent, such as the unclaimed women, the fabrics that emerge from the wish-fulfilling tree, the fruits that appear without being cultivated, the ornamented trees, along with all the other pleasures and enjoyments and all the unclaimed gold and gems.
ཤ་ར་དྭ་ཏིའི་བུ་དེ་ལྟར་མི་དེས་བྱང་གི་སྒྲ་མི་སྙན་གྱི་གླིང་དེའི་ཁོ་ར་ཁོར་ཡུག་མཐོང་ནས། ཕྱིར་འཁོར་ཏེ་འོངས་ན། དེ་ལ་ཆགས་པའམ་འཆིང་བ་ཡང་མེད་དོ། ||| Śāradvatīputra, although he would see the full extent of the scenery of the Unpleasant Sound continent, since he had to return, he would feel no attachment or craving.
།དེ་ནས་མི་དེ་བྱང་གི་སྒྲ་མི་སྙན་གྱི་མི་རྣམས་ཀྱི་ཉེ་བར་སྤྱད་པ་དང་། ལོངས་སྤྱད་པ་ཀུན་མཐོང་ནས། ཕྱིར་འཛམ་བུའི་གླིང་དུ་འོང་བ་དེ་བཞིན་དུ། ||| Even though he had seen all the pleasures and enjoyments of those living in the Unpleasant Sound continent, he would nevertheless return here to the Jambu continent.
ཤ་ར་དྭ་ཏིའི་བུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བསམ་གཏན་བཞི་པོ་འདི་དག་དང་། གཟུགས་མེད་པའི་སྙོམས་པར་འཇུག་པ་བཞི་རྣམས་ཀྱིས་གནས་ཀྱང་། དེ་དག་གི་རོ་ཡང་མྱོང་བར་མི་བྱེད་དོ། ||| Śāradvatīputra, likewise, even though bodhisattva great beings practice the four concentrations as well as the four attainments of the formless realm, they do not savor the experience of them.
།བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་བསམ་གཏན་བཞི་དང་། གཟུགས་མེད་པའི་སྙོམས་པར་འཇུག་པ་བཞི་རྣམས་ལ་གནས་པ་དེ་དག་གིས་འདྲིས་པར་བྱས་ནས། ཡང་དེ་འདོད་པ་ན་སྤྱོད་པའི་ཆོས་རྣམས་ལ་དམིགས་ཏེ། ||| When bodhisattva great beings cultivate the four concentrations and the four attainments of the formless realm as foundations, they focus on the world of those who experience desire.
