༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་གུཔྟ་ནཱ་མ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་དཔལ་སྦས་ཞེས་བྱ་བའི་མདོ། ||| The Noble Śrīgupta Sūtra
།རྟག་ཏུ་ཚུལ་ཁྲིམས་ཡོངས་སུ་རྫོགས་པར་སྤྱོད། །བརྩོན་འགྲུས་མཆོག་གི་གནས་ནི་བརྩམ་པར་གྱིས། ||| Always practice perfect moral conduct; Always apply supreme diligence—
།ཤེས་རབ་ཀྱིས་ནི་ཆོས་མཆོག་དམ་པ་ཐོབ། ||| With wisdom, attain the supreme and holy Dharma.’
།དེ་ནས་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་སྐྱེ་བོ་ཕལ་པོ་ཆེ་དེ་ལ་ཚིགས་སུ་བཅད་པ་འདི་བསྒྲགས་ནས་འདི་ལྟ་བུའི་བདེན་པའི་ཚིག་འདི་བྱེད་དེ། ||| “Once he had shared the verse with the crowd, Dharmakāma spoke the following words of truth:
སའི་ཕྱོགས་འདི་ན་ལྷ་རྒྱ་ཆེན་པོ་གང་དག་གནས་པ་རྣམས་བདག་ལ་དགོངས་སུ་གསོལ། ||| “ ‘Great gods who dwell in this land, please heed me!
ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དེ་དག་ཐམས་ཅད་ཀྱང་བདག་ལ་དགོངས་སུ་གསོལ། ||| All nāgas and yakṣas, gandharvas and asuras, garuḍas, kinnaras, and mahoragas, please heed me!
བདག་ནི་གཏོང་བ་བགྱིད་དེ། ཤིན་ཏུ་གཏོང་བ་དང་། གཏོང་བའི་ཡང་གཏོང་བ་དང་། བདག་ཉིད་ཡོངས་སུ་གཏོང་བ་བགྱིད་དོ། ||| I am performing an act of giving, the greatest act of giving, an extreme act of giving—I am giving myself.
།བདེན་པ་དང་བདེན་པའི་ཚིག་གང་གིས་བདག་ཡོངས་སུ་གཏོང་བ་བགྱིད་པ་ནི་རྒྱལ་པོའི་སླད་དུ་མ་ལགས། ལོངས་སྤྱོད་ཀྱི་སླད་དུ་མ་ལགས། མཐོ་རིས་ཀྱི་སླད་དུ་མ་ལགས། ||| The truth and the words of truth with which I give myself away are these: “I do this not to be a king, nor for the sake of wealth or a higher rebirth.
འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོའི་སླད་དུ་མ་ལགས་ཀྱི། ||| I do this not to acquire the kingdom of a universal monarch.
གཞན་དུ་ན་བདག་ཇི་ལྟར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས་སེམས་ཅན་མ་དུལ་བ་རྣམས་གདུལ་བར་བགྱི། མ་རྒལ་བ་རྣམས་བསྒྲལ་བར་བགྱི། མ་གྲོལ་བ་རྣམས་དགྲོལ་བར་བགྱི། དབུགས་མ་ཕྱིན་པ་རྣམས་དབུགས་དབྱུང་བར་བགྱི། ཡོངས་སུ་མྱ་ངན་ལས་མ་འདས་པ་རྣམས་ཡོངས་སུ་མྱ་ངན་ལས་བཟླ་བར་བགྱི་སྙམ་པའི་སླད་དུ་སྟེ། ||| Rather, I do this in order to attain supreme and perfect awakening and reach perfect buddhahood, so that I may tame those beings who are not yet tamed, free those who have not yet gone beyond, liberate those not yet liberated, reassure those who need reassurance, and place beyond suffering those who are still suffering.” By this truth, and by these words of truth, may my self-sacrifice not be fruitless!’
བདེན་པ་དང་བདེན་པའི་ཚིག་དེས་བདག་གི་ཡོངས་སུ་གཏོང་བ་འབྲས་བུ་མེད་པར་མ་གྱུར་ཅིག་ཅེས་བྱས་ནས་མེ་དོང་དེར་བདག་ཉིད་མཆོངས་སོ། ||| “With these words, he hurled himself into the fire pit.
།དགེ་སློང་དག་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་མེ་དོང་དེར་མཆོངས་མ་ཐག་ཏུ་མེ་དོང་དེའི་མེ་ཤི་སྟེ། པད་མའི་རྫིང་དུ་གྱུར་ནས་བུང་བ་སྒྲ་ཟི་ཟི་ཟེར་བའི་པད་མ་ལ་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་འདུག་ནས་ཆོས་སྟོན་ཏེ། ཚངས་པར་སྤྱོད་པ། ཐོག་མར་དགེ་བ། བར་དུ་དགེ་བ། ཐ་མར་དགེ་བ། ||| “Monks, as soon as the brahmin boy Dharmakāma jumped into the fire pit, the fire within it died out and became a pool of lotuses. Dharmakāma was teaching the Dharma while on a lotus seat buzzing with bees. He gave instructions to all beings in proper spiritual conduct that were virtuous in the beginning, middle, and end;
དོན་བཟང་པོ། ཚིག་འབྲུ་བཟང་པོ། ||| that were excellent in meaning and in expression;
མ་འདྲེས་པ། ཡོངས་སུ་རྫོགས་པ། ཡོངས་སུ་དག་པ། ཡོངས་སུ་བྱང་བ་ཡང་དག་པར་སྟོན་ཏེ། ||| and that were uncontaminated, perfect, pure, and unsullied.
བྲམ་ཟེ་དེ་ནི་ལུས་ཐམས་ཅད་ནས་མེ་བྱུང་སྟེ་ཚིག་ནས་ཚིག་གོ་ཞེས་སྨྲས་ཏེ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོར་ལྟུང་ངོ་། ||| “The brahmin’s entire body then burst into flames. He cried, ‘I am burning because of what I said!’ and fell into the great hells.
།དེ་ལ་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་འདི་སྐད་ཅེས་སྨྲས་སོ། །སློབ་དཔོན་མ་བསྙེངས་ཤིག །བདག་གིས་ཁྱོད་བསྐྱབ་པར་བགྱིའོ། ||| “The brahmin boy Dharmakāma said to him, ‘Master, do not be afraid! I will help you.’
།དེ་ནས་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་དེའི་ཚེ་འདི་ལྟ་བུའི་བདེན་པའི་ཚིག་འདི་བྱས་ཏེ། ||| “At that moment the brahmin boy Dharmakāma spoke the following words of truth:
བདེན་པ་དང་བདེན་པའི་ཚིག་གང་གིས་བདག་སེམས་ཅན་རྣམས་ཀྱི་དོན་དུ་བྱང་ཆུབ་ལ་སྤྱོད་པའི་བདེན་པ་དང་། བདེན་པའི་ཚིག་དེས་བྲམ་ཟེ་འདིའི་ལུས་ཚིག་པ་རབ་ཏུ་ཞི་བར་གྱུར་ཅིག །སེམས་ཅན་དམྱལ་བ་ལས་ཀྱང་ལོག་པར་གྱུར་ཅིག་ཅེས་བྱས་སོ། ||| “ ‘By the truth and the words of truth—the truth that I pursue awakening for the sake of beings—may the fire in the brahmin’s body be quelled, and may he return from the hell realms!’
།བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་བདེན་པ་དང་བདེན་པའི་ཚིག་བྱས་མ་ཐག་ཏུ་བྲམ་ཟེ་དེ་སེམས་ཅན་དམྱལ་བ་དེ་ནས་ཐར་བར་གྱུར་ཏོ། ||| “The very instant that the brahmin boy Dharmakāma spoke this truth and words of truth, the brahmin was saved from the hell realms.
།དགེ་སློང་དག་དེའི་ཚེ་དེའི་དུས་ན་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཅེས་བྱ་བར་གྱུར་པ་དེ་གཞན་ཞིག་ཡིན་པ་སྙམ་དུ་ཁྱོད་དོགས་ཤིང་ཐེ་ཙོམ་ཟ་ན་དེ་ལྟར་མི་བལྟ་སྟེ། ||| “Monks, if you suspect or have doubts that the brahmin boy named Dharmakāma who lived at that time was someone else, reconsider.
དགེ་སློང་དག་ང་དེའི་ཚེ་དེའི་དུས་ན་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཅེས་བྱ་བར་གྱུར་ཏོ། ||| Monks, I was the brahmin boy named Dharmakāma at that time.
།དགེ་སློང་དག་དེའི་ཚེ་དེའི་དུས་ན་བྲམ་ཟེར་གྱུར་པ་དེ་གཞན་ཞིག་ཡིན་པ་སྙམ་དུ་ཁྱོད་དོགས་ཤིང་ཐེ་ཙོམ་ཟ་ན་དེ་ལྟར་མི་བལྟ་སྟེ། ||| Monks, if you suspect or have doubts that the brahmin who lived at that time was someone else, reconsider.
ཁྱིམ་བདག་དཔལ་སྦས་དེའི་ཚེ་དེའི་དུས་ན་བྲམ་ཟེར་གྱུར་ཏོ། ||| The householder Śrīgupta was the brahmin at that time.
།དགེ་སློང་དག་དེའི་ཚེ་ཡང་ཁྱིམ་བདག་དཔལ་སྦས་ང་མེ་དོང་དུ་བསྲེགས་ལ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོར་ལྟུང་བར་འདོད་པ་ལས། ངས་དེ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་དེ་ནས་བཟློག་ཅིང་། ||| Monks, at that time, I saved the householder Śrīgupta from falling into the great hells because of his wish to burn me in a fire pit and his being destined to fall into the great hells.
འཕགས་པའི་ཆོས་འདུལ་བ་ལ་བཞག་སྟེ་འདི་དང་དེ་ཡང་དེ་བཞིན་དུ་ཟུང་ཤིག །དགེ་སློང་དག་ད་ལྟར་ཡང་དཔལ་སྦས་ང་མེ་དོང་དུ་བསྲེགས་ལ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོར་ལྟུང་བར་འདོད་པ་ལས། ||| I established him in the noble Dharma and Vinaya. This is how you should remember these things. Monks, I have also now saved Śrīgupta from falling into the great hells because of his wish to burn me in a fire pit and his being destined to fall into the great hells.
ངས་དེ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་དེ་ལས་བཟློག་ཅིང་འཕགས་པའི་ཆོས་འདུལ་བ་ལ་བཞག་སྟེ། ||| I have also established him in the noble Dharma and Vinaya.
དེ་དང་འདི་ཡང་དེ་བཞིན་དུ་ཟུང་ཤིག །དགེ་དང་མི་དགེ་སྔོན་བྱས་ཆུད་མི་ཟ། ||| This is how you should remember these things. “Past deeds, virtuous or wicked, are not fruitless;
