༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སཱུརྱ་གརྦྷ་ནཱ་མ་མ་ཧཱ་བཻ་བུ་ལྱཾ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་སྡེ་ཉི་མའི་སྙིང་པོ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Very Extensive Sūtra The Quintessence of the Sun
།ཟླ་བ་རྣམས་ཀྱི་དང་པོར་ནི། །རྒྱུ་སྐར་གང་ཞིག་འབྱུང་བར་འགྱུར། ||| Which lunar mansion will appear During the first month?
།ཟླ་བའི་ཡུད་ཙམ་གང་ཞིག་ལགས། ||| “What are the muhūrtas of the different months?
།གོ་རིམས་ཀྱང་ནི་ཅི་འདྲ་ལགས། ||| What is their sequence?
།ལྷ་ནི་ཅི་ལགས་རུས་ཅི་ལགས། ||| What is their deity? What is their family?
།ལྕི་བ་ཅི་ལགས་ཡང་བ་གང་། ||| What is their heaviness? What is their lightness?
།ཕན་པ་ཅི་ལགས་གནོད་པ་ཅི། ||| “What are their benefits? What is their harm?
།སྟོབས་ཅི་བདག་ལ་མྱུར་དུ་གསུངས། ||| What are their strengths? Please tell us quickly about this!
།གང་གིས་སུ་ནི་མཚན་མོ་འཐོབ། ||| What brings about the night?
།ཉི་མའི་མདུན་ན་ཅི་ཞིག་ལགས། ། ||| What is in front of the sun?
གྲིབ་མའི་གོམ་པ་དུ་ཞིག་ཏུ། །ཉི་མ་འཁོར་བར་བགྱིད་པ་ལགས། ||| “How many steps of shadow are there When the sun circles around?
།ཟླ་བ་གང་ལ་ལྷོ་ཕྱོགས་སུ། ||| During which month is the sun in the south?
།ཉི་མ་བྱང་དུ་ཇི་ལྟར་གནས། ||| How does it reside in the north?
།དྲང་སྲོང་ཁྱོད་ལ་ཀུན་ཞུ་ན། ||| “Sage, we ask all these questions to you.
།བདག་ཅག་ལ་ནི་ཀུན་སྟོན་ཅིག །ཤེས་རབ་ཆེན་པོས་འཇིག་རྟེན་མཁས། །སྐར་ལ་དགའ་བས་དེ་སྐད་སྨྲས། ||| Please teach us all this!” Through his great insight, The expert of the world Jyotīrasa replied,
།བསྐལ་པ་བཟང་པོ་ཞུགས་པ་ན། །སྔོན་ཆད་བྱུང་བ་སྐྱེ་ལགས་འགྲོ། །དཔལ་ལྡན་གྲོང་ཁྱེར་ལྔ་ལེན་དུ། ||| “O nāgas! In the past, At the beginning of the fortunate eon, A wealthy human king appeared In the glorious city of Pañcālā.
།འདོད་པ་སྤངས་ཤིང་ཆོས་དང་ལྡན། ||| “He had given up desires, he was righteous,
།གཙང་མ་འདོད་ཅིང་རབ་མཁས་པའི། །མི་རྒྱལ་འབྱོར་བ་ཆེན་པོ་བྱུང་། ||| He wished for chastity, and he was very learned,
།དེ་ཡི་བཙུན་མོ་དམ་པ་ནི། །འདོད་པ་རྣམས་ལ་འཆུམས་གྱུར་ནས། ||| But his queen Longed for sensual pleasure.
།དེ་ཚེ་ཡུལ་ནི་དབེན་པར་ཡང་། །གཟུ་ལུམས་ཅན་དང་ལྷན་ཅིག་སྤྱད། །མངལ་ནི་སྨིན་པར་བྱ་བའི་ཕྱིར། །ཡང་དང་ཡང་དུ་སྤྱད་ནས་སུ། ||| “At that time, she associated with a reckless man And fornicated with him repeatedly In a place without other people, With the aim of becoming pregnant.
།དེ་ཚེ་ཆོས་ཀྱིས་སྦྲུམ་པར་གྱུར། ||| “She became pregnant through the power of the Dharma,
།མི་སྡུག་པ་ཡི་ཁྱེའུ་ཞིག་བྱུང་། ||| And an ugly son was born.
།བུང་བུའི་མགོ་ལ་བོང་མགྲིན་པོ། ||| He had the head, the neck,
།བོང་རྣ་པོ་ལ་བོང་གདོང་པོ། ||| The ears, and the face of a donkey.
།ཐམས་ཅད་རྩུབ་པོ་རལ་པ་ཅན། ||| “His head was repulsive and covered with matted hairs,
།མི་ཡི་ལུས་ནི་ཕྱེད་ཡོད་པ། ||| But the other half of his body was human.
།དེ་མཐོང་འཇིགས་ནས་མྱུར་དུ་ནི། ||| When she saw him, the queen panicked
།སྣམ་ཕྱི་སར་ནི་དེ་བོར་རོ། ||| And quickly abandoned him in the latrines.
།རེག་ཏུ་མི་རུང་མི་གཙང་བ། ||| “Because he was filthy and disgusting to touch,
།དེ་ཕྱིར་སྲིན་མོ་བོང་མོས་བླངས། ||| The rākṣasī Female Donkey took him with her
།གངས་ཀྱི་གནས་སུ་སོང་ནས་སུ། ||| And brought him to her dwelling place in the snow mountains,
།བུ་ལ་ཆགས་པས་གསོས་པ་ཡིན། ||| Where she raised him lovingly as if he were her own son.
།བཅུད་ཀྱིས་ལེན་ནི་འཐུངས་པས་ན། ||| “Since she made him drink rejuvenating elixir,
།དེ་ཚེ་ལྷ་དང་ལྷན་ཅིག་འགྲོགས། ||| He spent his time in the company of the gods.
།ཤེས་རབ་ཆེན་པོ་སྐལ་ལྡན་པོ། ||| He acquired great insight and became skilled,
།རབ་ཏུ་བརྩོན་ལྡན་སྙིང་རྗེའི་སེམས། ||| Diligent, and compassionate.
།གཟི་བརྗིད་ཆེན་པོ་བྱམས་པ་ཐོབ། ||| “He developed great majesty and love,
།སེམས་ཅན་ཀུན་ལ་ཕན་བྱེད་པའོ། ||| And he benefitted all sentient beings.
ལྷ་ཡི་ཚོགས་ཀྱང་འདུས་ནས་སུ། ། ||| Hosts of gods gathered together
རྔ་བོང་ལ་ནི་ཕྱག་འཚལ་ནས། ། ||| And paid homage to Uṣṭra.
དེ་ལ་ཡང་ནི་སྙིང་བརྩེའི་ཕྱིར། །གངས་ཀྱི་རི་བོ་སྤྲུལ་པ་བྱས། ། ||| “Out of affection for him, They manifested a snow mountain
ཤིང་དང་མེ་ཏོག་འབྲས་བུར་ལྡན། ། ||| Covered with trees filled with flowers and fruits.
དྲི་ཞིམ་དགའ་བར་བྱེད་པ་སྟེ། ། ||| It was fragrant and delightful,
སྣ་ཚོགས་རྩི་ཡིས་ཁེབས་པ་ལ། །བྱ་རྣམས་སྣ་ཚོགས་རྟེན་པ་ཡིན། ། ||| “All kinds of plants were growing on it, And it was home to many types of birds.
དེར་ནི་དྲང་སྲོང་རྔ་བོང་དེ། །རྣམ་པར་དབེན་པར་རྟེན་ནས་སུ། ། ||| For sixty thousand years the sage Uṣṭra Resided there in isolation.
ལོ་ནི་དྲུག་ཁྲི་ཐམ་པར་ཡང་། །རྐང་པ་གཅིག་གིས་དཀའ་ཐུབ་གནས། ། ||| “He engaged in the ascetic practice Consisting in standing on one foot.
བརྒྱ་བྱིན་ཚངས་པས་ཕྱག་བྱས་ཏེ། ། ||| Śakra and Brahmā paid homage to him,
ལྷ་རྣམས་ཀུན་གྱིས་མངོན་པར་བསྟོད། ། ||| And all the gods openly praised him.
གཟུགས་རྟེན་ལྷ་རྣམས་ཐམས་ཅད་དང་། །དེར་ནི་ཚངས་པ་ཉེ་བར་འོངས། །འདོད་རྟེན་ལྷ་རྣམས་ཐམས་ཅད་དང་། །དེར་ནི་བརྒྱ་བྱིན་ཉེ་བར་འོངས། ། ||| “All the gods of the form realm, Led by Brahmā, approached him. As did all the gods of the desire realm, Led by Śakra.
ཀླུ་དང་གནོད་སྦྱིན་གྲུལ་བུམ་དག །ཐམས་ཅད་དེར་ནི་ཉེ་བར་ལྷགས། །འཇིག་རྟེན་གང་སུ་མཁས་པ་ནི། །དྲང་སྲོང་ཚངས་པར་སྤྱོད་པ་རྣམས། ། ||| “All the nāgas, yakṣas, and kumbhāṇḍas Also came close to him, As did all the wise ones within the world— The sages practicing pure conduct
འདོད་པའི་ཁམས་དང་གཟུགས་ཁམས་པ། །ཐམས་ཅད་དེར་ནི་ཉེ་བར་ལྷགས། ། ||| “And all the beings residing In the desire and form realms.
ཀུན་གྱིས་དྲང་སྲོང་རྔ་བོང་ལ། །མཆོད་པ་རྣམ་པ་སྣ་ཚོགས་བྱས། ། ||| They all worshiped the sage Uṣṭra With a variety of offerings.
བཏུད་ནས་ཐལ་མོ་སྦྱར་བྱས་ཏེ། །བརྒྱ་བྱིན་ཚངས་པས་འདི་སྐད་སྨྲས། ། ||| “Bowing with their palms joined, Śakra and Brahmā asked him,
སྐལ་ལྡན་ཆེན་པོ་ཀྱེ་ཁྱོད་ནི། །ཅི་ཕྱིར་དེད་ལ་མངོན་པར་དགའ། །རེ་བ་ཅི་འདྲ་ཅི་ལ་བསམས། །ཅི་འདོད་པ་ནི་སྨྲ་བར་གྱིས། ། ||| ‘O excellent being, How may we please you, Guide? “ ‘What are your expectations and intentions? Please tell us what you want!’
དྲང་སྲོང་རྔ་བོང་གིས་སྨྲས་པ། །གཟའ་དང་རྒྱུ་སྐར་སྐར་མ་རྣམས། །མཁའ་ལ་ཅི་འདྲར་བྱུང་གྱུར་པའི། །སྔོན་གྱི་བསྐལ་པ་བདག་གིས་དྲན། ། ||| The sage Uṣṭra replied, ‘I remember how the planets, lunar mansions, and stars “ ‘Appeared in the sky During the previous eons.
ཉིན་ཞག་དུ་ནི་རྒྱུ་སྐར་རྣམས། །རེ་རེ་ནས་ནི་རྒྱུ་བར་བྱེད། ། ||| Each day, the lunar mansions Change from one to the other.
ཚེ་རབས་ཀུན་ཏུ་རྒྱུ་སྐར་གྱི། །ཡོན་ཏན་ལས་རྣམས་རྣམ་པར་ཤེས། ། ||| “ ‘In all my lives, I have known The qualities and activities of the lunar mansions.’
བསྐལ་པ་བཟང་པོ་འདི་ལ་ནི། །འདི་ནི་ཅི་ཡང་མི་སྣང་ན། །སྙིང་བརྩེར་གྱིས་དེ་ཁྱོད་ཀྱིས་ནི། །རྒྱུ་སྐར་གོ་རིམས་ཀུན་ཞོག་ཤིག །ཇི་ལྟར་འཇིག་རྟེན་འདིར་གནས་བཞིན། །དེ་ཡི་ལས་དང་ཡོན་ཏན་གསུངས། །ཡོན་ཏན་རྒྱ་མཚོས་ཤོད་ཅིག་ཅེས། །ལྷ་ཡི་ཚོགས་རྣམས་ཀུན་གྱིས་སྨྲས། ། ||| All the hosts of gods then said, ‘In this excellent eon, “ ‘This knowledge has disappeared. Please kindly present to us The sequence of the lunar mansions! Please tell us about their activities and qualities “ ‘While they remain in this world! Ocean of qualities, please explain this to us!’
དྲང་སྲོང་རྔ་བོང་གིས་སྨྲས་པ། །རེ་ཞིག་དང་པོར་སྨིན་དྲུག་ཅེས། ། ||| “The sage Uṣṭra replied, ‘First of all, there is the lunar mansion called Kṛttikā. [. . .]
ཡང་དེའི་ཚེ་དྲང་སྲོང་ཐུབ་པའི་གནས་རྟེན་ག་ལ་བར་ཀླུ་ཐམས་ཅད་འདུས་ཏེ། དེ་དག་དྲང་སྲོང་སྐར་མ་ལ་དགའ་བ་མཆོག་ཏུ་བླ་མ་ལ་གུས་པ་དང་གཅེས་པར་བྱེད་པ་སྐྱེས་ཏེ། དེ་ལ་མཆོད་པའི་ལས་བྱ་བའི་ཕྱིར་ཅི་ནུས་སུ་བརྩོན་པར་གྱུར་ཏོ། ། ||| At this point all the nāgas gathered at the sacred site of wise sages developed respect and appreciation for the supreme teacher, the sage Jyotīrasa, and diligently worshiped him to the best of their abilities.
