འཕགས་པ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratnajālin
ཇི་ལྟར་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད། །ཡོངས་སུ་མྱ་ངན་འདས་ཀྱི་མཆོད་རྟེན་བྱས། ། ||| One could also create caityas for their parinirvāṇas As numerous as the grains of sand in the Ganges.
ཇི་ལྟར་སྟོང་ཆེན་འཇིག་རྟེན་ཁམས་རྣམས་སུ། །སངས་རྒྱས་གཅིག་གི་མཆོད་རྟེན་བྱས་པ་ནི། །རིན་ཆེན་རང་བཞིན་ལྷ་ཡི་སྒོ་སྟོང་ལྡན། །ཤིན་ཏུ་ལེགས་པར་སྲིད་པའི་རྩེ་སྲིད་མཐོ། ། ||| “One could create a caitya to every single buddha In all the worlds of the great trichiliocosm— Composed of jewels, with thousands of divine doors, Reaching as high as the peak of existence.
ཇི་ལྟར་གང་གཱའི་ཀླུང་གི་བྱེ་སྙེད་ཀྱི། །གདུགས་ནི་མཆོད་རྟེན་གཅིག་ལ་འབུལ་བར་བྱེད། ། ||| “One could offer parasols as numerous as the grains of sand in the Ganges To each of these caityas.
དེ་ཚེ་རེ་རེ་གདུགས་ལ་མུ་ཏིག་གི། །རྒྱན་ཕྲེང་བྱེ་བ་རྣམས་ཀྱང་ཤིན་ཏུ་བཀྲམ། ། ||| The parasols offered at that time would be Covered with ornamental garlands of pearl.
ཇི་ལྟར་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད། །བྱེ་བའི་འཕན་དང་རིན་ཆེན་སྣ་ཚོགས་ཀྱི། །རྒྱལ་མཚན་བྱེ་བ་ཕྲག་བརྒྱ་གང་གཱ་ཡི། །བྱེ་སྙེད་མཆོད་རྟེན་དག་ལ་འབུལ་བར་བྱེད། ། ||| “One could also offer millions of streamers As numerous as the grains of sand in the Ganges And billions of banners made of various precious jewels To these caityas as numerous as the grains of sand in the Ganges.
སྣང་བ་མཛད་པ་ཐམས་ཅད་མཁྱེན་གཅིག་གི། །མཆོད་རྟེན་གཅིག་ལ་སིལ་སྙན་བྱེ་བ་སྟོང་། །དཀྲོལ་ཅིང་ ||| “One could play billions of instruments At each caitya of the omniscient illuminators.
གུས་པའི་མི་ནི་ས་ཡ་དག །བྱེ་བ་ཕྲག་སྟོང་ཚང་བ་འབུལ་བར་བྱེད། ། ||| Trillions of respectful humans too Would join in making offerings.
མེ་ཏོག་གདུགས་བརྒྱ་དུ་མ་མཆོད་རྟེན་ལ་འབུལ་བ། །ཐུབ་པ་ཆེ་ལ་དེ་འདྲའི་མཆོད་པ་ཉིན་གཅིག་བཞིན། །གང་གཱའི་བྱེ་སྙེད་བསྐལ་པ་སྟོང་དུ་བྱེད་པ་བས། ། ||| “They would offer hundreds of flowers and parasols to the caitya And venerate the great sages in this manner every day For as many eons as there are grains of sand in the Ganges.
གང་ཞིག་མདོ་སྡེ་འདི་ལས་ཚིགས་བཅད་གཅིག་ཐོས་ནསསོམ་ཉི་མེད་ཅིང་འདུན་པ་སྐྱེད་བྱེད་ལ། །རྒྱལ་བའི་མཚན་འདི་དག་ཀྱང་རྗོད་བྱེད་ན། །དེ་བས་བསོད་ནམས་འདི་ནི་བླ་མེད་མཆོག ། ||| hearing just one verse from this discourse While not doubting it, developing interest, And reciting these victors’ names Brings merit that is unsurpassed and supreme.
མཁས་པ་ཏིང་ངེ་འཛིན་གྱི་མིང་ཐོས་ཤིང་། །ཚུལ་ཁྲིམས་སྐྱོན་མེད་མཚན་འདི་འཛིན་པ་དང་། །དེ་བཞིན་སངས་རྒྱས་ལ་ནི་མཆོད་བྱེད་པ། ། ||| “Wise ones should listen to the names of absorptions, Maintain flawless discipline, remember these names, And venerate the thus-gone buddhas.
དེས་ནི་གང་གཱའི་བྱེ་སྙེད་སངས་རྒྱས་མཐོང་། ། ||| Thereby, they will behold as many buddhas as the grains of sand in the Ganges.
ཐུབ་ཆེན་རྐང་གཉིས་མཆོག་གྱུར་དེ་དག་ལ། །མཆོད་པ་དམ་པའང་ཡིད་ཀྱིས་བྱས་ནས་ ||| “Having directed their minds to the sacred veneration Of the supreme humans, the great sages,
ནི། །རྟག་ཏུ་མྱོས་མེད་ཆོས་ཀྱང་སྟོན་བྱེད་ཅིང་། །བསྐལ་པ་བྱེ་བ་དེ་ནི་རྨོངས་མེད་འགྱུར། ། ||| They will always be sane, they will teach the Dharma, And for millions of eons they will remain undeluded.
འཇིག་རྟེན་མགོན་པོས་མདོ་མཆོག་རྒྱལ་པོ་འདི། །སྟོན་པའི་ཚེ་ན་གང་གིས་སྔོན་མཐོང་བ། །རྒྱལ་བ་མཆོག་ལས་འདི་ནི་ཐོས་གྱུར་ནས། །ཕྱི་མའི་དུས་སུ་དེ་ནི་དགའ་བས་འཛིན། ། ||| “As the World Protector teaches This supreme king of discourses, Those who hear what the Supreme Victor has previously seen Will obtain happiness in the future.
དྲི་ང་ཕྱི་སའི་བུམ་པ་མིས་འདོར་ལྟར། །འདོད་པ་སྐྱོན་དུ་བགྲང་བ་སྤོང་བྱེད་ཅིང་། ། ||| “They will discard desires, knowing them to have faults, Like a person tossing away a vessel filled with foul-smelling excrement.
མཁས་པ་ངེས་འབྱུང་ཞི་ལ་མངོན་དགའ་སྟེ། །རྟག་ཏུ་མྱོས་མེད་དགོན་པ་སྟེན་པར་བྱེད། ། ||| Such wise beings will delight in emancipation and peace, Be constantly sane, and rely on the protectors.
ཡངས་པའི་གྲོང་ཁྱེར་མཆོག་ཏུ་གནས་ནས་སུ། །དེར་ནི་བཤད་ཚེ་གང་གིས་ང་མཐོང་ཞིང་། །དྲ་བའང་ང་ལ་མཆོད་བྱེད་མཐོང་བ་ནི། །ཕྱི་མའི་དུས་སུ་མདོ་མཆོག་འདི་འཛིན་ཏོ། ། ||| “Those who saw me teach this In the city of Vaiśālī, Including Ratnajālin, who beheld and venerated me, Shall remember this supreme discourse in the future.
ངའི་བུ་གང་ཞིག་རྟག་ཏུ་རྗེས་འབྲང་ཞིང་། །བྱང་ཆུབ་ཞི་བ་སྤྱོད་མཆོག་སྤྱོད་པ་ན། ། ||| “Those of my children who always follow me, Engage in the supreme acts of awakening and peace,
སེམས་ཅན་རྣམས་ནི་རྟག་ཏུ་འདུལ་བྱེད་པ། །ཕྱི་མའི་དུས་སུ་མདོ་མཆོག་འདི་འཛིན་ཏོ། ། ||| And constantly train beings Shall uphold this supreme discourse in the future.
སངས་རྒྱས་འདྲེན་པ་གཞལ་མེད་དཔག་མེད་ཀྱི། །སྤྱད་པ་སྤྱོད་ཚེ་གང་གིས་རིམ་གྲོ་དང་། །དེ་བཞིན་མཆོད་པ་མཆོག་དག་བྱེད་པ་ནི། །དེ་ནི་ཕྱི་དུས་རྒྱལ་མཆོག་ཆོས་འཛིན་ཏོ། ། ||| “Those who serve the buddhas, the guides, As they engage in the fathomless and incalculable practices, And likewise engage in perfect worship, Shall uphold this teaching of the Supreme Victor in the future.
གང་ཞིག་བསྐལ་པ་བྱེ་བར་ཚངས་སྤྱོད་ཅིང་། །འཇིག་རྟེན་མཐའ་ཡས་དོན་ནི་སྔར་སྤྱད་པ། ། ||| “One could have engaged in pure conduct for a million eons Or previously worked for the benefit of infinite worlds;
གང་ཞིག་ཕྱི་མའི་དུས་སུ་མདོ་སྡེ་འདི། །ཐོས་པའི་བསོད་ནམས་གྲངས་སུ་འགྱུར་མ་ཡིན། ། ||| Yet the merit of hearing this discourse in the future Shall not be countable at all.
སངས་རྒྱས་འཁྲུགས་མེད་ཡང་ན་ཚེ་དཔག་མེད། །སངས་རྒྱས་གཞལ་མེད་དཔག་མེད་དེ་དག་འདིར། །སེམས་ཅན་སྙིང་པོ་གང་གིས་མཐོང་འདོད་པ། །མདོ་སྡེ་མཛེས་པ་དཔག་མེད་བཟུང་བར་གྱིས། ། ||| “Let those intelligent beings who desire to behold These peaceful and immortal buddhas— The unfathomable and limitless buddhas— Uphold the unfathomable greatness of this discourse!
ཚེ་དཔག་མེད་དང་མི་འཁྲུགས་དྲི་མེད་འོད། །སེང་གེ་དང་ནི་ཏོག་དང་དེ་བཞིན་དུ། །གང་ཞིག་སངས་རྒྱས་དེ་ཀུན་མཐོང་འདོད་པ། །ཕྱི་མའི་དུས་སུ་རྒྱལ་མཆོག་ཆོས་ཟུང་ཤིག ། ||| “Let those who wish to behold all these buddhas, Including Amitāyus, Akṣobhya, Vimalaprabhā, and Siṃhaketu, Uphold this teaching of the Supreme Victor in the future!
སངས་རྒྱས་བྱམས་པ་དང་ནི་དྲི་མེད་འོད། །བདག་ཉིད་ཆེན་པོ་དང་ནི་སེང་གེ་ཏོག །རབ་སྣང་གཙོ་བོ་དེ་བཞིན་མཐོང་འདོད་པ། །དེ་ནི་ཕྱི་དུས་རྒྱལ་མཆོག་ཆོས་ཟུང་ཤིག ། ||| “Let those who wish to behold these principle illuminators, The buddhas Maitreya and Vimalaprabhā, Mahātman, and Siṃhaketu, Uphold this teaching of the Supreme Victor in the future!
འདི་འདྲའི་མདོ་སྡེ་ཁྱད་པར་འཕགས་མཆོག་དག །རིན་ཆེན་དྲ་བ་ཅན་ལ་ང་ཡིས་བཤད། ། ||| “I have taught this noble and supreme discourse to Ratnajālin.
ཕྱི་མའི་དུས་སུ་དེ་ཚེ་ཁྱོད་ཀྱིས་ནི། །བག་མེད་གནས་ལ་འདུག་པར་མ་བྱེད་ཅིག ། ||| In the future, Do not stay in heedless places!
ཕྱི་མའི་དུས་ཀྱི་ཚེ་རུ་གྱུར་པ་ན། །ཚུལ་ཁྲིམས་སྐྱོན་མེད་རྟག་ཏུ་བག་བྱོས་དང་། ། ||| “When the future times come, Be careful and always keep your discipline flawless.
དེ་ནས་ཁྱོད་ནི་འཆི་བའི་དུས་བྱས་ནས། །རྒྱལ་བ་འོད་ཟེར་མཐའ་ཡས་ཅན་གྱི་ཞིང་། ། ||| Then, when your time comes to die, You will go to the realm of the victor Infinite Light.
