འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་གཅིག་པ་སྟེ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷ་དྲ་མཱ་ཡཱ་ཀ་ར་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Prophecy for Bhadra the Illusionist
དེ་ནས་རིགས་ཀྱི་བུ་བཟང་པོ་བར་སྣང་དེ་ལས་བབས་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་དེང་སླན་ཆད་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བྱེ་བ་འབུམ་ཕྲག་དུ་མ་དང་། ཆོས་དང་། དགེ་སློང་གི་དགེ་འདུན་ལ་སྐྱབས་སུ་མཆིའོ། ། ||| Then Bhadra the son of noble family descended from the air and, bowing his head to the feet of the Blessed One, said these words to him: “Blessed One, henceforth I take refuge in the many trillions of tathāgata, arhat, complete and perfect buddhas and in the Dharma and the Saṅgha of monks.
དེ་བཞིན་གཤེགས་པ་དེ་བཞིན་ཉིད་གང་གིས་དེ་བཞིན་ཉིད་ལས་སླར་མ་ལོག་པའི་དེ་བཞིན་གཤེགས་པའི་དེ་བཞིན་ཉིད་དང་། དབྱེར་མ་མཆིས་པའི་དེ་བཞིན་ཉིད་དང་། མ་ཚང་བ་མ་མཆིས་པའི་དེ་བཞིན་ཉིད་དང་། རྣམ་པར་མི་རྟོག་པའི་དེ་བཞིན་ཉིད་དང་། སྐྱེ་བ་མ་མཆིས་པའི་དེ་བཞིན་ཉིད་དང་། མངོན་པར་འདུ་བགྱི་བ་མ་མཆིས་པའི་དེ་བཞིན་ཉིད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དེ་བཞིན་ཉིད་གསུང་བ་བཞིན་དུ་བདག་ཀྱང་དེ་སྐད་མཆིའོ། ། ||| And I will proclaim the suchness of the Tathāgata just as the Tathāgata teaches it by means of the suchness of the Tathāgata, which does not deviate from suchness, the suchness that is indivisible, the suchness free of any imperfection, the nonconceptual suchness, the unborn suchness, the uncompounded suchness.”
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་རིགས་ཀྱི་བུ་བཟང་པོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཟང་པོ་ཁྱོད་དེ་བཞིན་གཤེགས་པའི་ཆོས་ཉིད་རྗེས་སུ་ཐོབ་བམ། ||| Then Venerable Ānanda asked Bhadra the son of noble family, “Bhadra, have you already attained the true nature of a tathāgata?
ཅི་ན་ཁྱོད་ཇི་ལྟར་དེ་བཞིན་གཤེགས་པ་དེ་བཞིན་ཉིད་གསུང་བ་ལྟར་ཁྱོད་དེ་སྐད་སྨྲ། ||| How else would you speak of suchness as the Tathāgata does?”
བཟང་པོས་སྨྲས་པ། ཀུན་དགའ་བོ་ཆོས་ཐམས་ཅད་ཀྱང་དེ་བཞིན་གཤེགས་པའི་ཆོས་ཉིད་ཐོབ་པ་ཡིན་ནོ། ། ||| “Ānanda,” Bhadra replied, “all phenomena have attained the true nature of the Tathāgata.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
ཀུན་དགའ་བོ་འདི་ལྟར་དེ་བཞིན་གཤེགས་པས་དེ་བཞིན་ཉིད་དབྱེར་མེད་པ་ཉིད་དུ་ཐུགས་སུ་ཆུད་དེ། ||| Because, Ānanda, the Tathāgata has realized suchness as indivisibility.
དེ་བཞིན་ཉིད་དབྱེར་མེད་པ་གང་ཡིན་པ་དེར་ཁོ་བོ་ཡང་ཆུད་ཅིང་ཇི་ལྟར་ཁོ་བོ་ཆུད་པ་དེ་བཞིན་དུ་སེམས་ཅན་ཐམས་ཅད་ཀྱང་ཆུད་ལ། ཇི་ལྟར་སེམས་ཅན་ཐམས་ཅད་ཆུད་པ་དེ་བཞིན་དུ་ཆོས་ཐམས་ཅད་ཀྱང་ཆུད་པའི་ཕྱིར་ཏེ། ||| I, too, am included in that which is indivisible with suchness, and just as I am included, so, too, are all beings included, and just as all beings are included, so, too, are all phenomena included.
བཙུན་པ་ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པའི་ཆོས་ཉིད་ནི་གཉིས་ཀྱིས་རབ་ཏུ་ཕྱེ་བ་མ་ཡིན་ནོ། ། ||| Thus, honorable Ānanda, the true nature of the Tathāgata is not something that can be divided in two.
བཙུན་པ་ཀུན་དགའ་བོ་གཉིས་སུ་མེད་པ་ནི་གང་ན་ཀུན་ཏུ་ཤེས་པ་མེད་པ་ཉིད་དང་། ཡོངས་སུ་ཤེས་པ་མེད་པ་ཉིད་དོ། ། ||| “Honorable Ānanda, nonduality is itself not something to be cognized or comprehended.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
འདུ་ཤེས་ཡོངས་སུ་ཤེས་པའི་ཤེས་པ་ནི་སངས་རྒྱས་ཀྱི་ཡེ་ཤེས་ཡིན་པའི་ཕྱིར་རོ། ། ||| Because the knowledge of knowing notions is the wisdom of a buddha.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་རིགས་ཀྱི་བུ་བཟང་པོ་ནི་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་མགོ་རྨོངས་པར་བགྱིད་པ་སྟེ། ||| Then Venerable Ānanda said to the Blessed One, “Blessed One, Bhadra the son of noble family bewilders the entire world with its gods.
སྔོན་ཡང་སྒྱུ་མའི་ཆོས་ཉིད་ཀྱིས་མགོ་རྨོངས་པར་བགྱིས་སོ། །ད་ཡང་ཤེས་རབ་དང་། ཡེ་ཤེས་ཀྱིས་མགོ་རྨོངས་པར་བགྱིད་དོ། ། ||| While previously he bewildered it with the nature of illusions, now he bewilders it with insight and wisdom.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why is this so?
འདིའི་ཤེས་རབ་དང་། ཡེ་ཤེས་ཀྱི་སྤོབས་པ་ནི་དེ་ལྟ་བུ་ལགས་པའི་སླད་དུའོ། ། ||| Because his inspired speech on insight and wisdom is like this.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སྒྱུ་མ་མཁན་བཟང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །བཟང་པོ་ཁྱོད་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་མགོ་རྨོངས་པར་བྱེད་པ་བདེན་ནམ། གསོལ་པ། ||| Then the Blessed One asked Bhadra the illusionist, “Bhadra, is it true that you bewilder this entire world with its gods?”
བཅོམ་ལྡན་འདས་ཀྱིས་ཇི་ལྟར་མགོ་རྨོངས་པར་མཛད་པ་དེ་བཞིན་དུ་བདག་ཀྱང་མགོ་རྨོངས་པར་བགྱིད་ལགས་སོ། ། ||| “Indeed, just as the Blessed One bewilders, so do I bewilder.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| How so?
བཅོམ་ལྡན་འདས་འདི་ལྟ་སྟེ། བདག་མེད་པ་ཉིད་ཀྱིས་སེམས་ཅན་དུ་ཐ་སྙད་བཏགས་ཏེ་ཆོས་སྟོན་པ་དང་། ||| Although there is no self, the Blessed One teaches the Dharma using the conventional term beings.
སྲོག་མེད་པ་དང་། ||| Although there are no living beings or persons, he teaches the Dharma using the term person.
གང་ཟག་མེད་པ་ཉིད་ཀྱིས་གང་ཟག་ཏུ་ཆོས་སྟོན་པ་འདི་ནི་མགོ་རྨོངས་པར་བགྱིད་པ་ཆེན་པོ་ལགས་པའི་སླད་དུའོ། ། ||| Therefore, he is a great bewilderer.
དེ་བཞིན་གཤེགས་པས་ནི་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་བཞུགས་ནས་ཆོས་འགའ་ཡང་འཆི་འཕོ་བ་འམ། འགྲོ་བའམ། སྐྱེ་བ་མ་གཟིགས་མོད་ཀྱི། འཆི་འཕོ་བ་དང་། ||| The Tathāgata rests at the seat of awakening, seeing no phenomenon whatsoever—no transference at death, no transmigration, and no birth—yet he teaches the Dharma of transference at death, transmigration, and birth.
འགྲོ་བ་དང་། སྐྱེ་བའི་ཆོས་སྟོན་པར་ཡང་མཛད་དེ། བཅོམ་ལྡན་འདས་དེ་ལྟ་ལགས་པས་དེ་བཞིན་གཤེགས་པ་ཡང་དག་པར་གསུང་བ་བཀའ་སྩོལ་བ་ལྟར་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་གྱི་ཡུལ་ག་ལ་ལགས། ||| In this way, the Blessed One appears in any place, for the world with its gods, as the Tathāgata proclaiming the truth.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སྒྱུ་མ་མཁན་བཟང་པོ་ལ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ཏེ། རིགས་ཀྱི་བུ་ལེགས་སོ་ལེགས་སོ། ། ||| Then the Blessed One gave his approval to Bhadra the illusionist, saying, “Well done, son of noble family, well done, well done!
ཁྱོད་ཇི་སྐད་སྨྲ་བ་དེ་ཁོ་ན་བཞིན་ཏེ། ||| It is just as you have said.
འདི་ལྟ་སྟེ་བདག་མེད་པ་ཉིད་ཀྱིས་སེམས་ཅན་དུ་ཐ་སྙད་བཏགས་ཏེ་ཆོས་སྟོན་པ་དང་། ||| Although there is no self, I teach the Dharma using the conventional term beings.
སྲོག་མེད་པ་དང་། ||| Although there are no living beings or persons, I teach the Dharma using the term person.
གང་ཟག་མེད་པ་ཉིད་ཀྱིས་གང་ཟག་ཏུ་ཆོས་སྟོན་པ་འདི་ནི་མགོ་རྨོངས་པ་ཆེན་པོ་ཡིན་ནོ། ། ||| Therefore, this is a great bewilderment.
དེ་བཞིན་གཤེགས་པས་ནི་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་བཞུགས་ནས་ཆོས་འགའ་ཡང་འཆི་འཕོ་བ་འམ། འགྲོ་བ་འམ། སྐྱེ་བ་མ་གཟིགས་མོད་ཀྱི། འཆི་འཕོ་བ་དང་། འགྲོ་བ་དང་། ||| The Tathāgata rests at the seat of awakening, seeing no phenomenon whatsoever—no transference at death, no transmigration, and no birth—yet he teaches the Dharma of transference at death, transmigration, and birth.
སྐྱེ་བའི་ཆོས་སྟོན་པར་ཡང་མཛད་དེ། འདི་ལ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་འམ། ཡོངས་སུ་མྱ་ངན་ལས་བཟླ་བའི་ཕྱིར་ཆོས་སྟོན་པའི་ཆོས་ནི་འགའ་ཡང་མེད་དོ། ། ||| In this sense, there is no such thing as final nirvāṇa, nor is there any Dharma taught in order to attain final nirvāṇa.”
