འཕགས་པ་ལྷག་པའི་བསམ་པ་བསྐུལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Inspiring Determination
དེའི་ལྕེའི་དབང་པོ་རྩུབ་པར་འགྱུར་བ་དང་། ||| (11) their speech becomes crude;
དེའི་ལུང་མནོས་པའི་ཆོས་རྣམས་ལེགས་པར་གནས་པར་མི་འགྱུར་བ་དང་། ||| (12) they do not properly retain Dharma transmissions they previously have received;
མདོ་སྡེ་ལུང་མ་མནོས་པ་རྣམས་རྣ་ལམ་དུ་གྲག་པར་མི་འགྱུར་བ་དང་། ||| (13) sūtra transmissions they have not previously received never reach their ears;
དགེ་བའི་བཤེས་གཉེན་ཐམས་ཅད་ཀྱིས་ཡོངས་སུ་སྤོང་བར་འགྱུར་བ་དང་། ||| (14) they entirely abandon all their spiritual mentors;
སྡིག་པའི་གྲོགས་པོ་རྣམས་དང་མྱུར་དུ་ཕྲད་པར་འགྱུར་བ་དང་། ||| (15) they quickly associate with evil friends;
དཀའ་བའི་ལམ་གྱིས་ངེས་པར་འབྱུང་བར་འགྱུར་བ་དང་། ||| (16) they take ordination on the path of austerity;
རྒྱུན་མི་འཆད་པར་ཡིད་དུ་མི་འོང་བའི་ཚིག་ཐོས་པར་འགྱུར་བ་དང་། ||| (17) they hear an uninterrupted flow of unpleasant words;
གང་དང་གང་དུ་སྐྱེས་པ་དེ་དང་དེར་ཐེ་ཚོམ་ཅན་དུ་འགྱུར་བ་དང་། དེ་ལ་མི་ཁོམ་པ་བརྒྱད་པོ་དག་ཉེ་བར་འགྱུར་བ་དང་། ||| (18) no matter where they are reborn they are born skeptics; (19) in their future lives, the eight states lacking leisure will always be close by; and
རྟག་ཏུ་དེའི་དཀར་པོའི་ཕྱོགས་ལ་བརྩོན་པ་ལ་བར་ཆད་འབྱུང་བར་འགྱུར་བ་སྟེ། ||| (20) whatever good they try to do will always run into obstacles.
བྱམས་པ་ཉི་ཤུ་པོ་དེ་དག་ནི་སྤྲོས་པ་ལ་དགའ་བའི་ཉེས་དམིགས་རྣམས་མདོར་བསྡུས་པ་ཡིན་ཏེ། དེ་དག་ཡོངས་སུ་སྤང་བར་བྱའོ། ། ||| Maitreya, those twenty summarize the shortcomings of enjoying deceit, and these are what must be avoided.”
དེ་ནས་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One then spoke these verses:
དེ་ནི་ཚེ་འདིར་བདེ་བར་མི་འགྱུར་ཏེ། ། ||| “They will not be happy in their lives.
བཟོད་དང་རིང་ཞིང་ཁྲོ་བའི་ཕྱོགས་ལ་གནས། ། ||| Patience will stay distant, and anger will remain nearby.
དེ་ཡི་དགྲ་རྣམས་དགའ་བར་འགྱུར་བ་སྟེ། ། ||| Their enemies will be pleased.
སྤྲོས་སྤྱོད་དེ་ཡི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to deceive.
བདུད་ཀྱང་དེ་ལ་དགའ་ཞིང་མགུ་བར་འགྱུར། །བདུད་ཀྱི་ཕྱོགས་ཀྱང་དེ་ལ་དགའ་བར་འགྱུར། ། ||| “Māra will like and appreciate them, As will Māra’s cohorts.
དེ་ཡི་དགེ་བའི་ཆོས་སྐྱེས་ཆུད་ཟར་འགྱུར། ། ||| Their virtuous qualities will go to waste.
སྤྲོས་སྤྱོད་དེ་ཡི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to deceive.
དེ་ནི་ནམས་ཀྱང་དགེ་བ་མི་སྐྱེད་དེ། ། ||| “They will never develop virtues;
འཆི་ཀར་ཐ་དད་རྒྱུ་ལ་གནས་པ་དང་། །ངན་སོང་འགྲོ་བའི་ལས་ནི་བྱེད་པར་འགྱུར། ། ||| And at death, continuing by a different cause, They will enact the karma of falling into lower realms.
སྤྲོས་སྤྱོད་དེ་ཡི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to deceive.
མི་མཛེས་པ་དང་བལྟ་ན་མི་སྡུག་དང་། །དེ་ནི་རྟག་ཏུ་རུས་རིགས་དམའ་བར་འགྱུར། ། ||| “Unattractive and unpleasant to behold, Their clans and lineages will always be inferior.
དེ་ཡི་ལྕེ་ཡི་དབང་པོ་རྩུབ་འགྱུར་ཏེ། ། ||| Their manner of speech will be very crude.
སྤྲོས་སྤྱོད་དེ་ཡི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to deceive.
ལུང་མནོས་ཆོས་རྣམས་ལེགས་པར་མི་གནས་ཤིང་། །ལུང་མནོས་མ་བྱས་མདོ་སྡེ་ཐོས་མི་འགྱུར། ། ||| “Past Dharma transmissions they will not retain well, And sūtra scriptures not yet received they will never hear.
དགེ་བའི་བཤེས་གཉེན་རྣམས་ཀྱང་རྣམ་པར་སྤོང་། ། ||| They will give up on all their spiritual mentors, too.
སྤྲོས་སྤྱོད་དེ་ཡི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to deceive.
སྡིག་པའི་གྲོགས་པོ་དག་དང་ཕྲད་པར་འགྱུར། ། ||| “They will make evil friends.
དཀའ་བའི་ཐེག་པས་རྣམ་པར་དག་འགྱུར་ཞིང་། །མི་འདོད་པ་ཡི་ཚིག་རྣམས་རྒྱུན་དུ་ཐོས། ། ||| They will delight in the vehicle of austerity. They will continually hear unpleasant words.
སྤྲོས་སྤྱོད་དེ་ཡི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to deceive.
བྱིས་པའི་བློ་ཅན་དེ་ནི་གར་སྐྱེས་དེར། །ཡིན་ནམ་མ་ཡིན་སྙམ་དུ་དེ་རྟོག་ཅིང་། །རྟག་ཏུ་དེས་ནི་ཐེ་ཚོམ་རྙེད་པར་འགྱུར། ། ||| “No matter where those juveniles are reborn, They will wonder, ‘Is it so, or is it not?’ And they will always be left in doubt.
སྤྲོས་སྤྱོད་དེ་ཡི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to deceive.
དེ་ནི་མི་ཁོམ་བརྒྱད་དང་རིང་མི་འགྱུར། །དེ་ནི་དལ་བ་ལྡན་པའི་མཆོག་མི་འགྱུར། ། ||| “The eight states without leisure will not be far away, And they will not be blessed with great leisure.
དེ་ལ་གནོད་པ་འདི་དག་རྟག་འབྱུང་སྟེ། ། ||| They will constantly face all sorts of harm.
སྤྲོས་སྤྱོད་དེ་ཡི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to deceive.
དེ་ཡི་དགེ་བ་དག་ལ་བར་ཆད་མང་། ། ||| “There will be many obstacles to their virtues.
བགེགས་སུ་འགྱུར་བས་མྱུར་དུ་འཐོབ་མི་འགྱུར། ། ||| Due to impediments, success won’t come quickly.
བརྩོན་དང་ལྡན་ཡང་དེ་ལ་དགྲ་རྣམས་འབྱུང་། ། ||| Even if they are diligent, they will face adversity.
སྤྲོས་སྤྱོད་དེ་ཡི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to deceive.
མཁས་པས་ཉེས་འདི་ཡང་དག་རིག་ནས་ནི། །སྤྲོས་པ་ཐམས་ཅད་ཡོངས་སུ་སྤང་བར་བྱ། ། ||| “The wise, understanding these faults so well, Rid themselves of all deviousness.
སྤྲོས་སྤྱོད་དག་ནི་གནོད་པ་རྙེད་པར་སླ། ། ||| Those who enjoy deceit easily find trouble.
དེ་ལྟ་བས་ན་སྤྲོས་ལ་གནས་མི་བྱ། ། ||| In light of that, don’t be devious.
གང་ལ་སྤྲོས་པའམ་རྩོད་པ་ཡོད་པ་ལས། །དཔག་ཚད་བརྒྱ་ཡི་ཕ་རོལ་འགྲོ་བ་མཆོག ། ||| “It would be best to flee a hundred miles From where there is deceit or duplicity.
གང་ན་ཉོན་མོངས་ཡོད་པ་དེ་དག་ཏུ། །ཡུད་ཙམ་ཞིག་ཀྱང་གནས་ཤིང་འདུག་མི་བྱ། ། ||| Do not linger or rest for even a moment In any place where defilements are found.
རབ་བྱུང་དོན་འདོད་ཡོན་ཏན་འདོད་པ་རྣམས། །སྡང་བའི་སེམས་ཀྱིས་རྩོད་པར་མ་བྱེད་ཅིག ། ||| “You who seek the goal of ordination And wish for good qualities, do not angrily squabble.
ཁྱེད་ལ་ཞིང་མེད་ཞིང་ལས་ཚོང་བྱར་མེད། །གང་ལ་ནོར་ཕྱིར་འདི་དག་འབྱུང་བ་སྤྲོས། ། ||| You have no fields, nothing of the field to sell. Whatever is done for wealth produces complications.
ཁྱེད་ལ་ཆུང་མ་བུ་དང་བུ་མོ་མེད། །ཁྱིམ་དང་གཉེན་གྱི་ཚོགས་ཀྱང་ཡོད་མ་ཡིན། ། ||| “You have no wives, no sons or daughters. You have not homes, or kinfolk either.
བྲན་ཕོ་བྲན་མོ་མེད་ཅིང་དབང་ཕྱུག་མེད། ། ||| You have no male or female servants, none to rule over.
རབ་ཏུ་བྱུང་ནས་རྩོད་པར་མ་བྱེད་ཅིག ། ||| Having taken ordination, do not take part in quarrels.
