༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཙ་ཏུར་ད་ར་ཀ་ས་མཱ་དྷི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱེའུ་བཞིའི་ཏིང་ངེ་འཛིན་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་དང་པོ། ||| The Noble Mahāyāna Sūtra The Four Boys’ Absorption
བསྣུན་པ་དང་དེ་ལས་སྒྲ་སྐད་ཆེན་པོ་བྱུང་ཞིང་རྣམ་པ་དྲུག་ཏུ་རབ་ཏུ་གཡོས་ཏེ། ||| At this strike, the earth let out a huge roar and shook in six different ways.
ཕྱོགས་བཅུའི་འཇིག་རྟེན་དག་འོད་བསམ་གྱིས་མི་ཁྱབ་ཅིང་ཐོགས་པ་མེད་པས་སྣང་བར་ཡང་གྱུར་ཏོ། ། ||| Inconceivable quantities of light filled worlds in the ten directions, illuminating them all without obstruction.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སྐུ་ལས་འོད་ཟེར་འདི་ལྟ་བུ་དག་རབ་ཏུ་བཀྱེ་སྟེ། འོད་ཟེར་རབ་ཏུ་བཀྱེ་བ་དེས་སྤུའི་ཁུང་བུ་རེ་རེ་ནས་ཀྱང་འོད་ཟེར་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དག་བྱུང་ངོ་། ། ||| Rays of light flooded from the Blessed One’s body, and rays as numerous as the grains of sand in the river Gaṅgā poured from every pore.
འོད་ཟེར་དེ་དག་རེ་རེ་ལས་ཀྱང་འོད་ཟེར་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དག་བྱུང་ངོ་། །འོད་ཟེར་རེ་རེས་ཀྱང་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དག་སྣང་བར་བྱས་ཏེ། ||| Each of those rays of light in turn emitted further rays of light as numerous as the grains of sand in the river Gaṅgā, and each of those rays of light in turn illuminated as many buddha fields as there are grains of sand in the river Gaṅgā.
འོད་ཟེར་གཅིག་དང་འོད་ཟེར་གཉིས་པ་ལྷན་ཅིག་མི་འགྲོགས་པར་འགྲོ་ཞིང་ཡང་དང་ཡང་དུ་སྤུའི་ཁུང་བུ་སོ་སོ་ནས་འོད་ཟེར་རབ་ཏུ་བཀྱེ་བས་འཇིག་རྟེན་གྱི་ཁམས་དེ་སྙེད་སྣང་བར་མཛད་དོ། ། ||| The rays of light did not merge with one another but shone continuously from every pore, completely illuminating every world system.
དེ་ནས་ཡང་བཅོམ་ལྡན་འདས་ཀྱིས་འདི་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་འདུ་མཛད་དེ། རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱ་བ་ཇི་ལྟ་བུ་མངོན་པར་འདུ་མཛད་པས་སངས་རྒྱས་ཀྱི་མཐུ་དང་། སངས་རྒྱས་ཀྱི་བྱིན་གྱི་རླབས་ཀྱིས་སེམས་ཅན་ཐམས་ཅད་སངས་རྒྱས་ཀྱི་སྤྱན་དང་ལྡན་པར་གྱུར་ཅིང་སངས་རྒྱས་ཀྱི་སྤྱན་གྱི་བྱེ་བྲག་ཀྱང་རྟོགས་པར་གྱུར་ཏེ། ||| With the Blessed One’s manifestation of such a miraculous display, all those beings became endowed with the eye of awakening and realized the detailed vision of awakening by means of the Buddha’s power and blessings.
དེ་དག་ཐམས་ཅད་ཀྱིས་སངས་རྒྱས་ཀྱི་ཞིང་ཇི་སྙེད་བཅོམ་ལྡན་འདས་ཀྱི་འོད་ཀྱིས་གསལ་བར་གྱུར་པ་དེ་དག་ཐམས་ཅད་མཐོང་བར་གྱུར་ཏོ། ། ||| Everyone could clearly see all the buddha fields illuminated by the light of the Blessed One.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། དགེ་སློང་དག་ཁྱེད་ཀྱིས་ཤར་ཕྱོགས་ལོགས་ན་ཁོ་ར་ཁོར་ཡུག་གི་ཁྱོན་དུ་དཔག་ཚད་འབུམ་ཡོད་པའི་གྲོང་ཁྱེར་དེ་ལྟར་ཆེ་བ། དེ་ལྟར་ཡངས་པ། དེ་ལྟར་མ་ཐོ་བ། དེ་ལྟར་རྒྱ་ཆེ་བ་ཞིག་རྡུལ་ཕྲ་རབ་ཀྱི་རྡུལ་བརྒྱ་སྟོང་དག་གིས་ཡོངས་སུ་གང་བ་མཐོང་ངམ། ||| The Blessed One then said to the monks, “Monks, do you see, in the east, a huge, wide, high, and expansive city covering an area of one hundred thousand leagues, completely filled with hundreds of thousands of tiny particles?”
གསོལ་པ། ||| “Yes, Blessed One,” replied the monks.
བཅོམ་ལྡན་འདས་དེ་དེ་ལྟ་ལགས་སོ། །བཀའ་སྩལ་པ། དགེ་སློང་དག་འདི་ཇི་སྙམ་དུ་སེམས། ||| The Blessed One continued, “And what do you think, monks?
རྡུལ་ཕྲ་རབ་ཀྱི་རྡུལ་དེ་དག་མང་བ་ཡིན་སྙམ་འམ། གསོལ་པ། ||| Do you think those tiny particles are numerous?”
བཅོམ་ལྡན་འདས་དེ་དེ་ལྟ་ལགས་སོ། ། ||| “Yes, Blessed One,” replied the monks.
བཀའ་སྩལ་པ། གང་གིས་ཟག་མེད་ལེན་མེད་ཅིང་། །འགག་མེད་ཟག་པ་མེད་པ་ཡི། །ཆོས་དེ་རབ་ཏུ་ཤེས་པ་དག །དེ་དག་ངན་འགྲོར་འགྲོ་མི་འགྱུར། ། ||| He continued: “Those who clearly understand the Dharma, As inexhaustible, free of grasping, Unceasing, and uncorrupted, Will not experience bad rebirth.”
དེ་ནས་སྲོག་ཆགས་བྱེ་བ་ཕྲག་སུམ་ཅུ་རྩ་གསུམ་གྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ནས། ཕྱིར་མི་འོང་བའི་འབྲས་བུ་ཐོབ་པར་གྱུར་ཏེ། ཆོས་ཐོབ་པ་དེ་དག་ཐམས་ཅད་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསོལ་ཏོ། །ཟད་པ་མ་མཆིས་ལེན་མ་མཆིས། །མི་འགག་ཟག་པ་མ་མཆིས་པ། །འཕགས་པའི་ཆོས་འདི་འཚལ་གྱུར་པས། །བདག་ཅག་བསིལ་གྱུར་མྱ་ངན་འདས། །མཁྱེན་ནས་ཇི་བཞིན་ཉིད་བརྙེས་ཤིང་། །སེམས་ཅན་རྣམས་ཀྱི་དབང་པོ་མཁྱེན། །རྒྱུ་དང་རྐྱེན་རྣམས་སྟོན་མཛད་ཅིང་། །སེམས་ཅན་རྣམས་ལ་ཐུགས་བརྩེ་བ། །ཟུག་རྔུ་འབྱིན་ཅིང་གསོས་མཛད་ལ། །སྨན་སྩོལ་མཛད་ཅིང་ཐམས་ཅད་མཁྱེན། །མྱ་ངན་འདའ་བ་སྟོན་མཛད་པའི། །རྫོགས་སངས་རྒྱས་ཀྱིས་བདག་ཅག་བཏུལ། །མིག་དང་སྒྲོན་མར་གྱུར་པ་འདི། །ཤིན་ཏུ་མྱུར་བར་འདས་གྱུར་ན། །སུ་ཞིག་སྲོག་ཆགས་བྱེ་བ་རྣམས། །ཡང་སོས་གནོད་ལས་ཐར་མཛད་འགྱུར། །ཟུག་རྔུ་འབྱིན་མཛད་སྨན་པ་ཆེ། །འབྱུང་པོ་ཀུན་གྱི་གསོས་མཛད་པ། །དེ་ཡིས་སེམས་ཅན་གང་གསོས་པ། །དེ་དག་ངན་འགྲོར་མཆི་མི་འགྱུར། །དེ་ནས་བཅོམ་ལྡན་འདས་དེའི་ཚེ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་ཐིག་ནག་གི་གནས་ཀྱི་མཐར་བཞུགས་ཏེ་འོད་རྒྱ་ཆེན་པོ་རབ་ཏུ་བཀྱེའོ། །དེས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོའི་གནས་དེ་སྣང་བར་གྱུར་ནས་སྲོག་ཆགས་སྟོང་ཕྲག་མང་པོ་དག་དེ་ནས་བཏོན་ཏེ་མཐོ་རིས་ལ་རབ་ཏུ་བཀོད་དོ། །དེ་བཞིན་དུ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་བསྡུས་གཞོམ་དང་། ངུ་འབོད་དང་། ངུ་འབོད་ཆེན་པོ་དང་། ཚ་བ་དང་། རབ་ཏུ་ཚ་བ་དག་ནས་ཀྱང་སྲོག་ཆགས་སྟོང་ཕྲག་མང་པོ་དག་བཏོན་ཏེ་མཐོ་རིས་དང་མྱ་ངན་ལས་འདའ་བ་ལ་རབ་ཏུ་བཀོད་དོ། ། ||| Upon hearing this Dharma teaching, three hundred thirty million beings obtained the level of nonreturning.
དེ་ནས་ཡང་བཅོམ་ལྡན་འདས་ཀྱིས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་བརྒྱད་ཀྱི་གནས་རྣམས་སུ་འོད་ཟེར་གསེར་གྱི་ཁ་དོག་ལྟ་བུར་ཤིན་ཏུ་འཇམ་པ། དགའ་བར་གྱུར་པ། ཡིད་དུ་འོང་བ། སྡུག་བསྔལ་ཉེ་བར་ཞི་བར་བྱེད་པ། མིག་དགའ་བར་བྱེད་པ། སྙིང་དང་མིག་རབ་ཏུ་སིམ་པ་སྐྱེད་པ། ||| The Blessed One then illuminated the beings dwelling in the eight great hells with a very gentle, delightful, and pleasant golden-colored light, born from love and compassion, that pacified their suffering, pleased their eyes, enchanted their hearts and eyes, soothed them, and filled their bodies with ease.
བསིལ་བ། བྱམས་པ་དང་། སྙིང་རྗེ་ལས་ངེས་པར་བྱུང་བ། ལུས་བདེ་བ་སྐྱེད་པར་བྱེད་པས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོའི་གནས་དེ་དག་གསལ་བར་མཛད་ཅིང་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་དེ་དག་གི་མེའི་གདུང་བ་སྐྱེས་པའི་གདུང་བ་ཡང་ཡོངས་སུ་ཞི་བར་མཛད་ནས། སེམས་ཅན་དེ་དག་ལ་བདེ་བ་ཉེ་བར་བསྒྲུབ་པའི་ཕྱིར་སྤུའི་ཁུང་བུ་ཐམས་ཅད་ནས་མཐར་གྱིས་འོད་དེ་དག་རབ་ཏུ་བཀྱེའོ། ། ||| The waves of light rays that radiated from the pores of his skin thoroughly quelled the burning torments of those in the great hells and instilled happiness in them.
